Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Adsorbido 1.teq4_2col	Adsorbido 1.teq4_2col	Adsorbido 2 - luego ru - ferroceno.teq4_2col	Adsorbido 2 - luego ru - ferroceno.teq4_2col	Adsorbido 3 - luego ru - ferroceno.teq4_2col	Adsorbido 3 - luego ru - ferroceno.teq4_2col	Ciclado - 20 Ciclos 1.teq4_2col	Ciclado - 20 Ciclos 1.teq4_2col	Ciclado - 20 Ciclos 2.teq4_2col	Ciclado - 20 Ciclos 2.teq4_2col	Ru - Ferroceno 1.teq4_2col	Ru - Ferroceno 1.teq4_2col	Ru - Ferroceno 2  10 ciclos.teq4_2col	Ru - Ferroceno 2  10 ciclos.teq4_2col	Ru - Ferroceno 3  10 ciclos.teq4_2col	Ru - Ferroceno 3  10 ciclos.teq4_2col
-544.8359	-3.611056	-544.769	-3.529011	-544.8061	-2.997213	-544.8256	-3.378179	-544.825	-2.112925	-544.7723	-3.674106	-544.8113	-2.882617	-544.7941	-2.788358
-543.8354	-3.590088	-543.7725	-3.511656	-543.8217	-2.980949	-543.8224	-3.372177	-543.8365	-2.094744	-543.8048	-3.658537	-543.8206	-2.872747	-543.7885	-2.773419
-542.8176	-3.570155	-542.7884	-3.494979	-542.8223	-2.965641	-542.8229	-3.365198	-542.8237	-2.074105	-542.8129	-3.641484	-542.8142	-2.86476	-542.7867	-2.757477
-541.7949	-3.549547	-541.772	-3.476881	-541.8154	-2.950077	-541.7897	-3.357757	-541.8162	-2.053278	-541.7931	-3.622434	-541.7978	-2.853384	-541.7577	-2.739239
-540.7805	-3.53126	-540.7892	-3.460306	-540.7997	-2.936188	-540.7793	-3.351605	-540.8054	-2.036335	-540.7886	-3.605062	-540.7867	-2.841947	-540.7597	-2.722109
-539.7807	-3.513053	-539.7909	-3.444152	-539.7953	-2.920014	-539.7603	-3.344448	-539.7899	-2.019351	-539.7732	-3.587175	-539.7893	-2.829408	-539.7902	-2.705002
-538.7763	-3.495116	-538.8013	-3.427403	-538.7974	-2.903041	-538.7573	-3.338118	-538.7781	-2.002342	-538.7729	-3.570237	-538.8088	-2.814425	-538.8162	-2.690223
-537.8011	-3.478181	-537.8405	-3.412382	-537.8145	-2.888805	-537.7709	-3.333521	-537.7839	-1.986111	-537.7919	-3.556139	-537.8394	-2.803168	-537.8359	-2.678544
-536.8048	-3.459507	-536.8485	-3.395592	-536.8337	-2.872122	-536.78	-3.326564	-536.7936	-1.967037	-536.7897	-3.539421	-536.8389	-2.791539	-536.8501	-2.664724
-535.803	-3.44259	-535.8428	-3.37743	-535.8441	-2.856497	-535.7998	-3.320392	-535.7979	-1.947231	-535.7891	-3.523462	-535.8414	-2.780964	-535.8448	-2.650108
-534.8163	-3.42519	-534.8225	-3.360496	-534.8464	-2.840891	-534.8063	-3.315229	-534.8121	-1.928404	-534.7849	-3.508201	-534.8436	-2.770844	-534.8302	-2.63455
-533.8087	-3.406232	-533.7947	-3.342762	-533.8354	-2.822901	-533.8343	-3.309399	-533.8169	-1.908054	-533.7777	-3.492598	-533.8168	-2.759038	-533.8368	-2.617831
-532.7984	-3.388831	-532.7968	-3.326139	-532.8387	-2.806577	-532.8555	-3.304444	-532.8413	-1.887791	-532.7866	-3.477731	-532.8226	-2.748331	-532.8169	-2.603283
-531.8096	-3.370708	-531.7892	-3.310161	-531.8344	-2.791379	-531.8539	-3.298381	-531.8535	-1.866715	-531.7881	-3.461687	-531.8204	-2.738459	-531.8182	-2.588536
-530.8196	-3.352837	-530.8064	-3.291972	-530.8353	-2.776959	-530.8563	-3.292046	-530.8495	-1.845381	-530.7789	-3.445108	-530.8159	-2.726881	-530.8315	-2.573712
-529.8229	-3.333806	-529.8051	-3.274057	-529.8414	-2.762174	-529.8336	-3.28521	-529.8312	-1.825053	-529.8073	-3.428001	-529.8342	-2.71428	-529.8246	-2.556904
-528.8251	-3.312892	-528.7878	-3.255384	-528.8007	-2.746513	-528.8045	-3.27843	-528.7784	-1.804167	-528.7977	-3.410616	-528.8184	-2.69881	-528.8239	-2.540084
-527.821	-3.291624	-527.8	-3.238395	-527.7946	-2.731422	-527.8192	-3.27278	-527.7542	-1.786603	-527.7953	-3.39584	-527.8201	-2.682079	-527.8193	-2.525361
-526.8123	-3.271152	-526.78	-3.223395	-526.8036	-2.716227	-526.8239	-3.266323	-526.7795	-1.76829	-526.8033	-3.379915	-526.804	-2.668413	-526.812	-2.512235
-525.8196	-3.251814	-525.7782	-3.208216	-525.7928	-2.70176	-525.8097	-3.259695	-525.7714	-1.748875	-525.7698	-3.362497	-525.792	-2.655107	-525.8043	-2.500603
-524.8281	-3.235834	-524.7812	-3.19446	-524.8177	-2.688368	-524.824	-3.253941	-524.8015	-1.731128	-524.7878	-3.347018	-524.8111	-2.644753	-524.8093	-2.489075
-523.8184	-3.219064	-523.7778	-3.178703	-523.8226	-2.672841	-523.8221	-3.248377	-523.8298	-1.710689	-523.7863	-3.330582	-523.8073	-2.63389	-523.8007	-2.476031
-522.8269	-3.201034	-522.7795	-3.162036	-522.7999	-2.655782	-522.8083	-3.24303	-522.7995	-1.689294	-522.7687	-3.315089	-522.8081	-2.621208	-522.7923	-2.460938
-521.8203	-3.184315	-521.7899	-3.146509	-521.8026	-2.640321	-521.8232	-3.23971	-521.7946	-1.667677	-521.7881	-3.302914	-521.8107	-2.609331	-521.8067	-2.447398
-520.8364	-3.165407	-520.7961	-3.129724	-520.801	-2.624237	-520.8354	-3.2359	-520.8013	-1.645986	-520.786	-3.288942	-520.7861	-2.595551	-520.8154	-2.432552
-519.8361	-3.146805	-519.7885	-3.113601	-519.7832	-2.608898	-519.8359	-3.230531	-519.7775	-1.62419	-519.7826	-3.27393	-519.775	-2.582405	-519.8176	-2.417723
-518.8281	-3.128692	-518.8032	-3.097336	-518.815	-2.595973	-518.8184	-3.225173	-518.774	-1.604472	-518.7833	-3.259165	-518.7808	-2.569341	-518.8259	-2.403569
-517.8257	-3.107303	-517.7873	-3.078988	-517.83	-2.581879	-517.7844	-3.218596	-517.7765	-1.584565	-517.7599	-3.242643	-517.7968	-2.554381	-517.8165	-2.386498
-516.8005	-3.085921	-516.778	-3.062542	-516.8056	-2.56794	-516.7543	-3.211836	-516.7452	-1.562567	-516.7557	-3.227674	-516.807	-2.540708	-516.8032	-2.371775
-515.7921	-3.064462	-515.7595	-3.045875	-515.7959	-2.554521	-515.7271	-3.204952	-515.739	-1.540662	-515.7472	-3.212214	-515.7853	-2.526981	-515.7727	-2.357288
-514.7648	-3.045017	-514.745	-3.030896	-514.7653	-2.541028	-514.7456	-3.19838	-514.7347	-1.519958	-514.7529	-3.197048	-514.7717	-2.513845	-514.7463	-2.3441
-513.7628	-3.027894	-513.7482	-3.017802	-513.7363	-2.527533	-513.7764	-3.192387	-513.7563	-1.501042	-513.7885	-3.180737	-513.7498	-2.502684	-513.7285	-2.332945
-512.7435	-3.0127	-512.7403	-3.003091	-512.7575	-2.513097	-512.7798	-3.185173	-512.7701	-1.482634	-512.7673	-3.163646	-512.7429	-2.491934	-512.7237	-2.321237
-511.7706	-2.997828	-511.7664	-2.989453	-511.7626	-2.499473	-511.7879	-3.181064	-511.789	-1.466739	-511.7642	-3.149226	-511.7679	-2.481801	-511.7483	-2.309489
-510.7967	-2.981369	-510.7935	-2.974791	-510.7761	-2.484285	-510.8078	-3.176944	-510.7927	-1.447765	-510.772	-3.134078	-510.7828	-2.472249	-510.7803	-2.296475
-509.7901	-2.962837	-509.7927	-2.959124	-509.7914	-2.468686	-509.8081	-3.172547	-509.7807	-1.427136	-509.7474	-3.119808	-509.788	-2.460967	-509.7801	-2.282703
-508.8279	-2.944324	-508.8109	-2.944656	-508.804	-2.456211	-508.8099	-3.16938	-508.7789	-1.408524	-508.7603	-3.10669	-508.799	-2.450579	-508.7751	-2.269369
-507.8103	-2.924817	-507.8179	-2.929159	-507.8419	-2.441751	-507.8161	-3.164035	-507.7647	-1.388481	-507.7733	-3.091651	-507.8032	-2.437824	-507.7739	-2.255546
-506.7993	-2.904367	-506.8026	-2.912951	-506.8243	-2.428626	-506.7999	-3.15791	-506.7704	-1.370196	-506.7844	-3.077389	-506.7944	-2.424712	-506.7518	-2.241164
-505.7996	-2.88611	-505.8233	-2.898613	-505.816	-2.417738	-505.8209	-3.151589	-505.7742	-1.351946	-505.794	-3.063008	-505.814	-2.412892	-505.7749	-2.227936
-504.7901	-2.866172	-504.8068	-2.883005	-504.8097	-2.405622	-504.8302	-3.145037	-504.7795	-1.33163	-504.8142	-3.047973	-504.8187	-2.399346	-504.7849	-2.213964
-503.7731	-2.846282	-503.7835	-2.868084	-503.7864	-2.39479	-503.8306	-3.138364	-503.7955	-1.30948	-503.8093	-3.032825	-503.8069	-2.387024	-503.7826	-2.200151
-502.7717	-2.827121	-502.7759	-2.854488	-502.7929	-2.382586	-502.8177	-3.131635	-502.7946	-1.288021	-502.7932	-3.017639	-502.7978	-2.373797	-502.7707	-2.187363
-501.774	-2.808244	-501.7833	-2.839667	-501.8034	-2.369982	-501.784	-3.124846	-501.7955	-1.268598	-501.793	-3.00298	-501.7807	-2.35992	-501.7574	-2.174467
-500.7751	-2.789703	-500.7932	-2.826182	-500.7941	-2.356961	-500.7819	-3.119008	-500.797	-1.2508	-500.7758	-2.987259	-500.8032	-2.347256	-500.7469	-2.161787
-499.8116	-2.772511	-499.8115	-2.812398	-499.8048	-2.344109	-499.7861	-3.113362	-499.7992	-1.234024	-499.7896	-2.973148	-499.8442	-2.336208	-499.7556	-2.150244
-498.8263	-2.755724	-498.8264	-2.798748	-498.822	-2.332843	-498.8022	-3.108435	-498.8085	-1.216278	-498.8075	-2.958515	-498.8691	-2.326429	-498.7828	-2.13833
-497.8495	-2.737633	-497.8018	-2.784649	-497.8344	-2.321135	-497.8316	-3.104683	-497.7993	-1.198661	-497.8029	-2.94225	-497.881	-2.317019	-497.7841	-2.126114
-496.8443	-2.718297	-496.8044	-2.769083	-496.8281	-2.308025	-496.8372	-3.099569	-496.7822	-1.180301	-496.8123	-2.927528	-496.8455	-2.305851	-496.7923	-2.112618
-495.8242	-2.698831	-495.8024	-2.754244	-495.8215	-2.295682	-495.8418	-3.094502	-495.789	-1.163379	-495.8063	-2.912043	-495.8106	-2.294029	-495.7804	-2.099356
-494.827	-2.67922	-494.8076	-2.739259	-494.8168	-2.283026	-494.8387	-3.090183	-494.7827	-1.146623	-494.8125	-2.896363	-494.7995	-2.28102	-494.7749	-2.086342
-493.8093	-2.657797	-493.8168	-2.724516	-493.7868	-2.269923	-493.8271	-3.083684	-493.7801	-1.126955	-493.81	-2.881659	-493.7745	-2.266978	-493.7835	-2.073029
-492.8265	-2.638695	-492.8187	-2.711532	-492.7968	-2.260473	-492.8272	-3.077885	-492.8097	-1.109527	-492.8361	-2.86606	-492.7952	-2.256599	-492.7911	-2.06205
-491.8234	-2.619129	-491.8235	-2.697315	-491.8129	-2.250189	-491.8266	-3.071952	-491.7928	-1.089484	-491.8263	-2.849824	-491.7934	-2.244938	-491.7975	-2.047822
-490.8033	-2.597963	-490.8058	-2.681926	-490.8095	-2.239401	-490.8098	-3.064423	-490.7983	-1.069259	-490.8044	-2.83411	-490.7913	-2.232363	-490.7816	-2.033585
-489.7985	-2.578906	-489.8293	-2.66956	-489.8235	-2.229469	-489.8057	-3.059047	-489.8076	-1.052413	-489.8046	-2.818683	-489.8057	-2.221607	-489.7555	-2.02228
-488.7925	-2.558215	-488.8171	-2.656594	-488.8259	-2.218138	-488.7957	-3.053124	-488.7961	-1.034445	-488.7874	-2.807099	-488.7991	-2.209022	-488.7497	-2.010323
-487.796	-2.537412	-487.8114	-2.644819	-487.8159	-2.207495	-487.7912	-3.048114	-487.8074	-1.022731	-487.8111	-2.792746	-487.8071	-2.199121	-487.751	-2.002301
-486.8156	-2.516776	-486.8336	-2.634467	-486.8367	-2.198818	-486.8061	-3.042969	-486.8026	-1.00904	-486.8336	-2.779091	-486.8174	-2.190996	-486.7623	-1.994405
-485.8177	-2.495353	-485.8131	-2.621487	-485.85	-2.188867	-485.8347	-3.03724	-485.8012	-0.991636	-485.8423	-2.763761	-485.8228	-2.182936	-485.7837	-1.98376
-484.8055	-2.473682	-484.8314	-2.608328	-484.8551	-2.177642	-484.8329	-3.032944	-484.801	-0.974093	-484.8633	-2.746966	-484.8347	-2.173485	-484.7968	-1.972374
-483.8083	-2.451785	-483.8304	-2.594584	-483.864	-2.166177	-483.8472	-3.027721	-483.8018	-0.95297	-483.8565	-2.733307	-483.8352	-2.162347	-483.7923	-1.95972
