Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
HQ t0	HQ t0	HQ t1	HQ t1	HQ t2	HQ t2	HQ t3	HQ t3	HQ t4	HQ t4	HQ t5	HQ t5	HQ t6	HQ t6	HQ t7	HQ t7	HQ t8	HQ t8	HQ t9	HQ t9	HQ t10	HQ t10	HQ t11	HQ t11	HQ Au	HQ Au
263.7803	0.573014	263.7462	0.210276	263.7165	0.205619	263.7194	0.259298	263.6414	0.218712	263.6459	0.210195	263.6141	0.334977	263.6557	0.194013	263.5943	0.147056	263.5797	0.175871	263.5839	0.161178	243.6619	0.13775	243.6522	0.229137
264.7885	0.585873	264.7597	0.215445	264.7272	0.207902	264.7129	0.264909	264.6441	0.225681	264.6417	0.214416	264.6346	0.34339	264.6639	0.197131	264.605	0.149704	264.6057	0.179629	264.5857	0.163804	244.6375	0.139124	244.6411	0.230045
265.8182	0.597605	265.7648	0.21734	265.7374	0.209748	265.7035	0.269767	265.6624	0.230519	265.6483	0.216947	265.6538	0.350645	265.6322	0.203101	265.6273	0.150982	265.6098	0.182667	265.5931	0.165825	245.6288	0.140179	245.6411	0.231914
266.8332	0.610045	266.7737	0.220289	266.7437	0.211228	266.7162	0.274199	266.6642	0.235502	266.6583	0.219022	266.6829	0.357984	266.6218	0.20694	266.6423	0.1535	266.619	0.185259	266.5921	0.167959	246.6191	0.140427	246.6229	0.231915
267.8333	0.619363	267.7639	0.22225	267.7357	0.209659	267.718	0.275331	267.6581	0.236259	267.66	0.22154	267.695	0.364356	267.6066	0.211286	267.6372	0.154435	267.6164	0.186805	267.6117	0.171532	247.6333	0.14335	247.6295	0.233473
268.8619	0.63025	268.7696	0.222311	268.7137	0.209128	268.7193	0.273389	268.6485	0.237294	268.6489	0.224132	268.6514	0.370789	268.6046	0.215973	268.6183	0.157061	268.6154	0.189448	268.6069	0.174854	248.6491	0.146446	248.6364	0.235803
269.8421	0.641545	269.7508	0.223083	269.7146	0.209454	269.7264	0.271872	269.641	0.236342	269.6577	0.227989	269.6258	0.376945	269.6066	0.216603	269.6006	0.161076	269.6108	0.191722	269.5674	0.178018	249.6533	0.149801	249.6232	0.236907
270.8179	0.651717	270.7533	0.228309	270.7052	0.211242	270.7115	0.272413	270.6376	0.239637	270.6515	0.232448	270.6099	0.383581	270.62	0.219516	270.589	0.164705	270.6171	0.195331	270.5491	0.181658	250.6366	0.155082	250.6256	0.240282
271.7957	0.663285	271.7647	0.226965	271.718	0.213369	271.716	0.275719	271.6365	0.2448	271.6603	0.238864	271.6127	0.390882	271.6364	0.220689	271.6133	0.170034	271.6346	0.199491	271.5544	0.183789	251.6334	0.158951	251.6441	0.244329
272.7562	0.674194	272.7602	0.232632	272.7313	0.216751	272.6993	0.278252	272.6457	0.251014	272.6609	0.243895	272.6332	0.398874	272.625	0.222516	272.6251	0.170937	272.627	0.203261	272.5612	0.185813	252.658	0.162305	252.6567	0.247989
273.7532	0.687169	273.7656	0.236506	273.7304	0.219472	273.6719	0.279524	273.6536	0.256831	273.6452	0.249873	273.6374	0.40745	273.6328	0.228448	273.6182	0.17206	273.6241	0.208034	273.5663	0.188015	253.6707	0.164991	253.6691	0.250373
274.7782	0.702286	274.7582	0.23676	274.7573	0.22467	274.6653	0.282447	274.6572	0.262207	274.6487	0.256039	274.6465	0.417714	274.6255	0.233794	274.616	0.173497	274.6103	0.212404	274.5844	0.190493	254.6795	0.166127	254.679	0.24995
275.7907	0.715806	275.7385	0.238766	275.7443	0.227717	275.647	0.281151	275.6671	0.268573	275.6414	0.260488	275.6249	0.425772	275.6166	0.240665	275.604	0.171614	275.6023	0.216456	275.5796	0.192932	255.6956	0.168494	255.6819	0.250173
276.8181	0.729087	276.7395	0.23852	276.7428	0.231047	276.6732	0.28591	276.6605	0.27385	276.6497	0.266544	276.6407	0.434288	276.6243	0.245991	276.6158	0.172758	276.6023	0.220415	276.5675	0.196437	256.6815	0.170254	256.6876	0.247848
277.8468	0.742294	277.7595	0.241588	277.7506	0.23446	277.7116	0.291312	277.663	0.281309	277.6546	0.271758	277.6497	0.443751	277.6493	0.252233	277.6326	0.174757	277.6039	0.225365	277.5897	0.201014	257.6483	0.17412	257.6757	0.247787
278.8421	0.753928	278.7601	0.242575	278.7218	0.234839	278.7285	0.294713	278.6802	0.287548	278.6471	0.274574	278.6288	0.451827	278.6486	0.255679	278.6284	0.175685	278.5983	0.229185	278.5926	0.204193	258.6487	0.17838	258.6765	0.250391
279.8428	0.76852	279.7769	0.245068	279.7058	0.235715	279.751	0.297578	279.6701	0.291846	279.6609	0.279342	279.632	0.461339	279.6522	0.261404	279.6039	0.179178	279.5733	0.232857	279.5934	0.207752	259.6057	0.179529	259.6469	0.250736
280.818	0.78284	280.7651	0.248809	280.6989	0.235386	280.7322	0.296996	280.6696	0.29644	280.6614	0.283648	280.61	0.469517	280.6515	0.26671	280.5926	0.181781	280.5695	0.235958	280.5976	0.211231	260.589	0.18196	260.6255	0.253533
281.7687	0.794596	281.7418	0.251588	281.6661	0.234413	281.6953	0.292751	281.6449	0.302145	281.645	0.287105	281.5806	0.476196	281.6275	0.270123	281.579	0.182259	281.5579	0.239066	281.5791	0.214317	261.6203	0.18451	261.6274	0.255776
282.7536	0.807693	282.7344	0.255975	282.6692	0.235628	282.6872	0.292942	282.6292	0.310061	282.6517	0.294231	282.5837	0.48414	282.6265	0.276342	282.5955	0.184806	282.5563	0.242173	282.5886	0.218072	262.614	0.187044	262.6162	0.257707
