Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mv	ua	mv	ua	mv	ua	mv	ua
FcAu		FcMeso		RuAds		Mediacion	
87.86897	0.761221	87.78604	0.249196	-411.752	1.032627	-411.7124	-0.617877
88.84081	0.809448	88.78143	0.254998	-410.7583	1.124803	-410.728	-0.56249
89.84381	0.863312	89.77397	0.259664	-409.8078	1.20997	-409.7513	-0.5108
90.85002	0.91022	90.79427	0.266124	-408.8077	1.31152	-408.7829	-0.453084
91.86566	0.954678	91.7957	0.272585	-407.8137	1.4194	-407.7966	-0.389609
92.87967	1.002101	92.80823	0.2782	-406.8438	1.523741	-406.7898	-0.3222
93.87164	1.050222	93.8239	0.285299	-405.814	1.638775	-405.7925	-0.251998
94.85957	1.107151	94.81883	0.292141	-404.8184	1.751015	-404.7855	-0.181912
95.84129	1.165622	95.83571	0.298849	-403.8274	1.862349	-403.7778	-0.110952
96.84084	1.235265	96.84644	0.307069	-402.8259	1.978336	-402.7867	-0.041841
97.89314	1.311004	97.861	0.316939	-401.8563	2.091747	-401.7889	0.028112
98.91792	1.375886	98.88245	0.323521	-400.8553	2.212406	-400.7647	0.10542
99.94054	1.442106	99.88367	0.32981	-399.8655	2.329453	-399.7591	0.180722
100.967	1.505044	100.8804	0.335264	-398.8645	2.447965	-398.7656	0.257164
101.9363	1.557764	101.8581	0.339029	-397.8528	2.572619	-397.7704	0.340107
102.9163	1.621144	102.8449	0.347308	-396.8715	2.690139	-396.813	0.417504
103.9148	1.689529	103.8373	0.35716	-395.8633	2.81965	-395.8217	0.500947
104.8884	1.752138	104.8323	0.367756	-394.8469	2.956493	-394.8263	0.590198
105.8782	1.824614	105.8403	0.378403	-393.8612	3.085552	-393.8206	0.675152
106.8644	1.903035	106.8522	0.387728	-392.8313	3.223623	-392.8096	0.763637
107.85	1.983605	107.8533	0.395305	-391.8399	3.362369	-391.8228	0.84858
108.8403	2.068887	108.8424	0.404136	-390.86	3.492676	-390.8318	0.932146
109.8383	2.157674	109.8277	0.41345	-389.8536	3.635589	-389.8226	1.024925
110.8595	2.243846	110.8103	0.423554	-388.8589	3.780079	-388.8082	1.11877
111.8645	2.321767	111.8127	0.433711	-387.8512	3.924028	-387.8094	1.223821
112.8593	2.402788	112.8039	0.442553	-386.8552	4.070907	-386.8073	1.328993
113.8496	2.496765	113.8198	0.451546	-385.8607	4.217258	-385.8266	1.42953
114.8331	2.584506	114.819	0.459654	-384.8637	4.365113	-384.844	1.531804
115.8286	2.686079	115.8174	0.469446	-383.86	4.509096	-383.8312	1.628778
116.8432	2.799924	116.8335	0.480264	-382.8595	4.659186	-382.8456	1.727906
117.8663	2.895876	117.8116	0.489535	-381.85	4.814517	-381.8463	1.83398
118.8735	2.999746	118.7843	0.50035	-380.8691	4.954774	-380.8439	1.934999
119.8698	3.109865	119.7781	0.512405	-379.8864	5.101583	-379.862	2.040171
120.8656	3.211012	120.7588	0.524949	-378.8662	5.254226	-378.8666	2.151233
121.8523	3.320497	121.7559	0.541438	-377.8838	5.397886	-377.8674	2.260513
122.8455	3.433955	122.8007	0.555535	-376.8842	5.563808	-376.8731	2.387183
123.8662	3.551719	123.8018	0.568668	-375.8704	5.73968	-375.8536	2.51655
124.8589	3.667803	124.8155	0.580407	-374.8798	5.908743	-374.8199	2.643495
125.841	3.79527	125.8207	0.590048	-373.8784	6.081392	-373.8171	2.771153
126.8442	3.935292	126.8056	0.601758	-372.8641	6.246294	-372.8178	2.885582
127.8187	4.065968	127.8043	0.611966	-371.8493	6.401344	-371.8562	2.996895
128.8149	4.204756	128.8007	0.624376	-370.8515	6.552614	-370.8779	3.110646
129.8447	4.351597	129.7922	0.638454	-369.8472	6.707837	-369.8997	3.22992
130.8338	4.477705	130.7716	0.651367	-368.8517	6.874604	-368.9144	3.360806
131.8435	4.607103	131.7502	0.667766	-367.8966	7.037663	-367.8779	3.493546
132.8278	4.747255	132.7529	0.685568	-366.92	7.20926	-366.8666	3.632331
133.8031	4.87842	133.7398	0.701409	-365.9078	7.39537	-365.827	3.776855
134.8109	5.034419	134.7559	0.718916	-364.9073	7.567546	-364.8098	3.911194
135.8038	5.205375	135.794	0.735234	-363.8726	7.748627	-363.8077	4.051692
136.8146	5.385581	136.7878	0.748258	-362.8307	7.936083	-362.8068	4.194138
137.8268	5.57029	137.8139	0.762626	-361.8202	8.100964	-361.814	4.320613
138.8326	5.740847	138.7846	0.776359	-360.8195	8.263037	-360.8181	4.45226
139.8585	5.913896	139.7599	0.790896	-359.8273	8.421467	-359.8409	4.58196
140.8559	6.075636	140.7555	0.80704	-358.8528	8.570747	-358.8367	4.703656
141.8409	6.232361	141.7632	0.824918	-357.896	8.730834	-357.8325	4.840557
142.8271	6.410268	142.7989	0.845457	-356.8934	8.90151	-356.8334	4.98484
143.8112	6.580022	143.7869	0.86355	-355.8934	9.083797	-355.8206	5.131799
144.819	6.757019	144.7947	0.882274	-354.8932	9.263206	-354.8274	5.278649
145.8249	6.962416	145.7897	0.900645	-353.8806	9.437548	-353.8568	5.421988
146.8516	7.163457	146.7651	0.914362	-352.8854	9.61421	-352.8696	5.55998
147.8535	7.37908	147.7743	0.932497	-351.894	9.774887	-351.8895	5.689688
148.8829	7.606292	148.76	0.95162	-350.8951	9.93505	-350.9025	5.826114
149.9006	7.808457	149.7726	0.967896	-349.879	10.10922	-349.8889	5.971994
150.9123	8.006748	150.7927	0.986576	-348.8878	10.26948	-348.8839	6.108987
151.8888	8.195276	151.8124	1.003876	-347.8981	10.43067	-347.8818	6.251368
152.8431	8.371314	152.8338	1.020035	-346.9063	10.60229	-346.8724	6.399189
153.83	8.570686	153.8121	1.03934	-345.9237	10.76183	-345.8904	6.532838
154.7979	8.770314	154.8062	1.058961	-344.9211	10.93266	-344.8881	6.676522
155.8195	8.985315	155.7919	1.078128	-343.9043	11.10979	-343.8858	6.825973
156.8575	9.216191	156.7796	1.095942	-342.8918	11.27814	-342.8873	6.965769
157.8626	9.440304	157.7923	1.113014	-341.8778	11.44319	-341.8955	7.111015
158.8662	9.671574	158.7826	1.132143	-340.8769	11.59412	-340.8992	7.252679
159.8582	9.896935	159.7816	1.15013	-339.8707	11.74371	-339.8968	7.393399
