WE1 Volts(mV)    WE1 Idir (uA)		WE1 Volts(mV)    WE1 Idir (uA)		WE1 Volts(mV)    WE1 Idir (uA)		WE1 Volts(mV)    WE1 Idir (uA)	
Ru Adsorbido con HQ 5mM.teq4_2col	Ru Adsorbido con HQ 5mM.teq4_2col	Ru 0.63mM Ciclado - 20 Ciclos 1.teq4_2col	Ru 0.63mM Ciclado - 20 Ciclos 1.teq4_2col	Ru 0.63mM Ciclado - 20 Ciclos 2.teq4_2col	Ru 0.63mM Ciclado - 20 Ciclos 2.teq4_2col	Ru Adsorbido con HQ 5mM 20 ciclos.teq4_2col	Ru Adsorbido con HQ 5mM 20 ciclos.teq4_2col
-432.9026	-2.291767	-432.8866	-3.153511	-432.9129	0.805755	-432.8645	-3.741843
-431.906	-2.277375	-431.89	-3.15024	-431.9216	0.831353	-431.8669	-3.729614
-430.9171	-2.26148	-430.9083	-3.145412	-430.9197	0.858902	-430.8684	-3.719716
-429.9211	-2.245515	-429.9026	-3.139774	-429.9078	0.888744	-429.8717	-3.709066
-428.9216	-2.227968	-428.8852	-3.133399	-428.9307	0.916408	-428.8781	-3.703525
-427.9311	-2.209018	-427.8849	-3.125023	-427.915	0.949543	-427.8893	-3.692377
-426.9093	-2.192904	-426.8773	-3.118198	-426.8945	0.985798	-426.8627	-3.680025
-425.8929	-2.177696	-425.8688	-3.114492	-425.9032	1.016475	-425.8452	-3.671489
-424.8836	-2.162899	-424.856	-3.111167	-424.8901	1.051481	-424.8365	-3.660146
-423.865	-2.14491	-423.854	-3.107522	-423.8997	1.086474	-423.8415	-3.649619
-422.8743	-2.125801	-422.8377	-3.103719	-422.9085	1.119617	-422.8736	-3.639337
-421.8669	-2.108245	-421.8414	-3.099018	-421.8942	1.15872	-421.8964	-3.62662
-420.8664	-2.088916	-420.8457	-3.094432	-420.882	1.197704	-420.9095	-3.615144
-419.8808	-2.071837	-419.8326	-3.088814	-419.8702	1.240832	-419.8978	-3.603228
-418.8907	-2.052151	-418.85	-3.0836	-418.8573	1.283787	-418.8794	-3.590152
-417.9056	-2.03214	-417.8456	-3.076004	-417.8638	1.325702	-417.8654	-3.577227
-416.9088	-2.013065	-416.8391	-3.067385	-416.8593	1.369442	-416.8503	-3.562686
-415.8942	-1.992543	-415.8233	-3.061113	-415.8778	1.411904	-415.8709	-3.55193
-414.8756	-1.971002	-414.8221	-3.054663	-414.8755	1.457188	-414.8558	-3.539701
-413.8505	-1.943376	-413.812	-3.049513	-413.8478	1.512372	-413.8272	-3.526915
-412.8456	-1.920153	-412.831	-3.046926	-412.8387	1.560314	-412.8271	-3.515868
-411.8311	-1.895888	-411.8338	-3.044119	-411.821	1.610876	-411.7975	-3.506337
-410.8265	-1.872906	-410.8176	-3.039563	-410.8238	1.661122	-410.804	-3.495652
-409.8615	-1.856294	-409.8167	-3.036341	-409.8604	1.705734	-409.8421	-3.487543
-408.8762	-1.831599	-408.8098	-3.030835	-408.8976	1.762888	-408.8598	-3.477843
-407.9042	-1.804723	-407.8464	-3.023753	-407.8963	1.818412	-407.8647	-3.461411
-406.9234	-1.778572	-406.8535	-3.017125	-406.8875	1.876703	-406.8738	-3.451324
-405.9102	-1.749639	-405.8761	-3.009746	-405.888	1.936224	-405.8742	-3.437711
-404.8966	-1.72232	-404.8676	-3.003012	-404.8734	1.99569	-404.8738	-3.425237
-403.8801	-1.695898	-403.8587	-2.996197	-403.882	2.055673	-403.8822	-3.412344
-402.8721	-1.66704	-402.8673	-2.991025	-402.9046	2.119841	-402.8786	-3.396394
-401.8741	-1.637012	-401.8591	-2.985128	-401.902	2.187966	-401.8752	-3.384576
-400.8815	-1.604544	-400.8578	-2.979187	-400.8942	2.256859	-400.8517	-3.369363
-399.8994	-1.573969	-399.846	-2.974949	-399.9055	2.327329	-399.8452	-3.358912
-398.9193	-1.542086	-398.8577	-2.969954	-398.9086	2.395864	-398.8473	-3.346066
-397.9009	-1.505321	-397.8629	-2.964354	-397.91	2.470442	-397.8268	-3.33326
-396.9156	-1.474691	-396.8727	-2.959082	-396.9238	2.540398	-396.8515	-3.323225
-395.9224	-1.440534	-395.8811	-2.952298	-395.9223	2.61654	-395.8784	-3.308357
-394.9042	-1.403494	-394.8784	-2.945012	-394.9283	2.697682	-394.8597	-3.292256
-393.9214	-1.369024	-393.8708	-2.939092	-393.9282	2.775002	-393.8891	-3.280541
-392.8949	-1.32845	-392.8835	-2.932766	-392.9451	2.859496	-392.9033	-3.26456
-391.8806	-1.288151	-391.8905	-2.925311	-391.9445	2.945444	-391.8969	-3.250394
-390.8735	-1.24842	-390.891	-2.918295	-390.9447	3.026743	-390.9304	-3.239964
-389.8769	-1.206942	-389.889	-2.910403	-389.9296	3.11795	-389.9218	-3.219151
-388.8857	-1.165336	-388.8864	-2.904339	-388.9387	3.206573	-388.9084	-3.199681
-387.8923	-1.120901	-387.8856	-2.899037	-387.9268	3.299261	-387.8828	-3.17937
-386.8904	-1.078144	-386.8666	-2.894924	-386.9348	3.393899	-386.8853	-3.160595
-385.8888	-1.035837	-385.891	-2.890903	-385.9528	3.481732	-385.8854	-3.142081
-384.8839	-0.989803	-384.8931	-2.884929	-384.9344	3.581693	-384.9068	-3.125123
-383.8894	-0.946261	-383.8977	-2.879742	-383.9654	3.670841	-383.9367	-3.103705
-382.8938	-0.89711	-382.9223	-2.873589	-382.9788	3.770079	-382.9399	-3.08205
