E	DD = 0	DD = 0.05	DD = 0.1	DD = 0.15	DD = 0.2	DD = 0.25
0.4844	3.49294	3.82483	4.1824	2.07104	0.19533	0.00497
0.4872	3.47978	3.80883	4.16392	2.06491	0.19469	0.00495
0.49	3.46676	3.79303	4.14563	2.05884	0.19407	0.00493
0.4928	3.45382	3.77741	4.12753	2.05283	0.19345	0.00492
0.4956	3.44095	3.76197	4.10961	2.04687	0.19284	0.0049
0.4984	3.4282	3.74672	4.09187	2.04096	0.19223	0.00488
0.5012	3.41556	3.73158	4.07429	2.03511	0.19163	0.00487
0.504	3.40303	3.71646	4.05688	2.0293	0.19103	0.00485
0.5068	3.39061	3.7015	4.03961	2.02354	0.19044	0.00483
0.5096	3.3783	3.6867	4.0225	2.01783	0.18986	0.00482
0.5124	3.36611	3.67205	4.00553	2.01216	0.18928	0.0048
0.5152	3.35403	3.65756	3.98869	2.00653	0.18871	0.00479
0.518	3.34206	3.64322	3.97202	2.00094	0.18814	0.00477
0.5208	3.3302	3.62904	3.95574	1.99539	0.18757	0.00476
0.5236	3.31846	3.61501	3.93963	1.98988	0.18702	0.00474
0.5264	3.30683	3.60114	3.92368	1.9844	0.18646	0.00473
0.5292	3.29531	3.58743	3.90789	1.97896	0.18591	0.00471
0.532	3.2839	3.57386	3.89225	1.97366	0.18536	0.0047
0.5348	3.27261	3.56046	3.87676	1.96841	0.18482	0.00468
0.5376	3.26141	3.54721	3.86142	1.96321	0.18429	0.00467
0.5404	3.25021	3.53395	3.84622	1.95804	0.18376	0.00465
0.5432	3.23911	3.52066	3.83116	1.95293	0.18324	0.00464
0.546	3.2281	3.50748	3.81624	1.94785	0.18273	0.00462
0.5488	3.21719	3.49442	3.80144	1.94282	0.18222	0.00461
0.5516	3.20638	3.48146	3.78677	1.93782	0.18171	0.0046
0.5544	3.19567	3.46862	3.77222	1.93286	0.18121	0.00458
0.5572	3.18505	3.45589	3.7578	1.92795	0.18071	0.00457
0.56	3.17453	3.44326	3.74349	1.92306	0.18022	0.00456
0.5628	3.16411	3.43075	3.72929	1.91822	0.17973	0.00454
0.5656	3.15378	3.41836	3.71519	1.91341	0.17925	0.00453
0.5684	3.14356	3.40607	3.70136	1.90863	0.17877	0.00452
0.5712	3.13343	3.39389	3.68766	1.90389	0.17829	0.0045
0.574	3.1234	3.38183	3.67409	1.89917	0.17782	0.00449
0.5768	3.11346	3.36988	3.66065	1.89449	0.17735	0.00448
0.5796	3.10362	3.35803	3.64732	1.88984	0.17688	0.00446
0.5824	3.09388	3.3463	3.63411	1.88522	0.17642	0.00445
0.5852	3.08408	3.33469	3.62102	1.88062	0.17596	0.00444
