Funcionalizado DHDP 3mM	Funcionalizado DHDP 3mM
mV	uA
Primeros 45	Primeros 45
-27.37758	2.354638
-26.35401	2.346709
-25.36963	2.333581
-24.36347	2.326285
-23.37065	2.317794
-22.38387	2.307521
-21.387	2.299932
-20.39326	2.290115
-19.41377	2.280149
-18.42457	2.270953
-17.41967	2.263119
-16.4021	2.257045
-15.37957	2.248864
-14.36269	2.240249
-13.35564	2.231523
-12.37701	2.219377
-11.37678	2.212075
-10.37282	2.206499
-9.359662	2.197483
-8.350472	2.191082
-7.338856	2.182469
-6.35441	2.172247
-5.358365	2.164776
-4.336696	2.157692
-3.361191	2.145572
-2.369134	2.135409
-1.394111	2.124895
-0.4506448	2.115348
0.523398	2.109718
1.502692	2.104932
2.503141	2.100464
3.5114	2.091517
4.511134	2.08351
5.5229	2.075532
6.483963	2.065527
7.456627	2.058658
8.451641	2.052562
9.425436	2.04453
10.43394	2.036805
11.45375	2.030118
12.45377	2.023093
13.48064	2.014881
14.48813	2.008111
15.484	2.002214
16.48782	1.994143
17.46103	1.986002
18.46308	1.980846
19.45217	1.971981
20.45435	1.9655
21.4817	1.961111
22.48411	1.953286
23.49325	1.947654
24.47881	1.941604
25.4558	1.934901
26.44843	1.929227
27.44292	1.922919
28.45171	1.916786
29.4531	1.90912
30.43453	1.901317
31.44609	1.894701
32.4314	1.887776
33.44151	1.882869
34.4663	1.8784
35.45196	1.872418
36.48079	1.866478
37.46884	1.860061
38.43998	1.853732
39.45132	1.850415
40.41842	1.845387
41.41422	1.839271
42.44059	1.833759
43.43574	1.82553
44.45167	1.820007
45.46459	1.814952
46.46213	1.809172
47.46558	1.804492
48.47502	1.797713
49.48568	1.791939
50.50106	1.786919
51.488	1.782763
52.48242	1.779233
53.46638	1.774746
54.4432	1.768306
55.44407	1.761531
56.4276	1.755882
57.41476	1.749618
58.42002	1.745108
59.4137	1.740496
60.41809	1.736209
61.43019	1.733177
62.42956	1.729126
63.43032	1.725788
64.44918	1.720941
65.43874	1.716557
66.45121	1.71289
67.45028	1.706376
68.43549	1.701692
69.44308	1.69816
70.42233	1.693696
71.4267	1.692403
72.42698	1.691236
73.43713	1.687999
74.44678	1.685291
75.45656	1.681327
76.45824	1.67641
77.45159	1.671739
78.43922	1.668086
79.42283	1.665584
80.42188	1.66133
81.40434	1.659001
82.41405	1.657928
83.41379	1.654721
84.41302	1.654626
85.41904	1.653857
86.43112	1.650118
87.44223	1.647827
88.42772	1.646476
89.4374	1.643943
90.42963	1.642725
91.44283	1.641492
92.45872	1.638312
93.45598	1.636101
94.44427	1.634784
95.44355	1.634204
96.45552	1.634198
97.46582	1.634335
98.48172	1.634051
99.01612	1.586676
99.04881	1.526121
98.58801	1.456063
97.61372	1.377205
96.61832	1.337534
95.61433	1.303779
94.61105	1.273511
93.60335	1.246731
92.59122	1.221329
91.58405	1.198512
90.57945	1.177754
89.58809	1.157338
88.59199	1.140686
87.59198	1.124013
86.5759	1.107396
85.56548	1.092727
84.53345	1.075367
83.53885	1.060581
82.54213	1.046396
81.55069	1.031496
80.57252	1.019943
79.564	1.008356
78.57604	0.9976023
77.57618	0.98713
76.5904	0.9760388
75.60587	0.962951
74.61327	0.9500411
73.60104	0.9377961
72.61024	0.926413
71.60438	0.9157819
70.56616	0.9054988
69.57621	0.8965008
68.56483	0.8850021
67.5618	0.8764577
66.58936	0.8685046
65.59303	0.8589704
64.59128	0.8521268
63.61623	0.8431783
62.62341	0.8329933
61.62957	0.8249096
60.6134	0.8171743
59.58467	0.8098682
58.58098	0.8025686
57.56484	0.7945079
56.60035	0.7857988
55.59524	0.7759331
54.60486	0.7668512
53.62922	0.7591629
52.61663	0.7495312
51.63442	0.7424288
50.63177	0.7361498
49.61405	0.7268118
48.60582	0.7203218
47.60956	0.7135979
46.59961	0.7056684
45.62196	0.7000374
44.62565	0.6940425
43.60355	0.6872159
42.60951	0.6790313
41.57814	0.6717669
40.56998	0.6656801
39.58108	0.6575639
38.5581	0.6515765
37.59502	0.6450733
36.57764	0.6367623
35.58339	0.6308935
34.60432	0.624784
33.57737	0.6172763
32.58101	0.611271
31.57189	0.6041307
30.5792	0.5977247
29.58484	0.5920218
28.57536	0.5850064
27.58021	0.5785874
26.59009	0.5718401
25.59128	0.5665835
24.63013	0.563081
23.63834	0.5569834
22.6061	0.5505741
21.61606	0.5449979
20.61333	0.5355443
19.60551	0.5293702
18.63244	0.5243935
17.62782	0.5161214
16.62332	0.5119653
15.63996	0.507068
14.6297	0.5008868
13.63579	0.496317
12.65146	0.4890225
11.63947	0.482548
10.6377	0.475633
9.617106	0.4683146
8.610891	0.4628212
7.624767	0.4573781
6.647185	0.4529473
5.67605	0.4489821
4.677911	0.4425088
3.666545	0.4363697
2.666329	0.4299039
1.649511	0.4223516
0.6731255	0.4177752
-0.3127992	0.4123559
-1.295201	0.4096326
-2.227317	0.405995
-3.213889	0.3996313
-4.180222	0.3941765
-5.1761	0.3862918
-6.207575	0.3797742
-7.195178	0.3750641
-8.203503	0.3685371
-9.19536	0.3615833
-10.18785	0.3562394
-11.23197	0.3493921
-12.25406	0.3458816
-13.25337	0.341964
-14.25575	0.3342185
-15.24671	0.3285038
-16.22421	0.3206851
-17.22549	0.3126825
-18.24767	0.3078189
-19.25676	0.3019276
-20.27727	0.2967894
-21.28373	0.2917849
-22.26363	0.2872028
-23.23965	0.2838167
-24.23027	0.2774762
-25.22855	0.2729296
-26.21151	0.2681494
-27.21269	0.2593406
-28.21299	0.2533212
-29.22313	0.2468124
-30.24889	0.2399833
-31.25622	0.2374094
-32.24666	0.2341978
-33.22763	0.2279824
-34.21053	0.2211666
-35.21597	0.2126307
-36.22153	0.2051706
-37.2168	0.1992996
-38.23539	0.1928005
-39.2257	0.1874515
-40.22964	0.1791672
-41.24688	0.1724591
-42.24742	0.1687387
-43.24182	0.1620874
-44.24214	0.1571577
-45.24146	0.1531311
-46.24352	0.1448407
-47.25442	0.1379761
-48.2333	0.1326322
-49.23833	0.1261406
-50.22228	0.122327
-51.21972	0.1180187
-52.21756	0.1116329
-53.22437	0.1024211
-54.23079	0.09137925
-55.21769	0.08265744
-56.23852	0.07351882
-57.23759	0.06608952
-58.23709	0.06101743
-59.2671	0.05173551
-60.27401	0.0447677
-61.27396	0.03802793
-62.2786	0.02939547
-63.26808	0.02398421
-64.2557	0.01689512
-65.24538	0.009093078
