Funcionalizado APTES 1mM	Funcionalizado APTES 1mM
mV	uA
Segndos 45	Segndos 45
6.427463	0.3131562
7.42158	0.3138777
8.430038	0.3150571
9.459684	0.3166184
10.46311	0.318604
11.47266	0.320813
12.46226	0.3237476
13.43562	0.3257023
14.43441	0.3278003
15.44049	0.3298375
16.44385	0.3298151
17.43414	0.3302769
18.41591	0.3315765
19.40191	0.3318733
20.41249	0.3337264
21.4276	0.3373842
22.45408	0.3392054
23.45206	0.3422656
24.46394	0.3451068
25.45719	0.3462827
26.43871	0.3489807
27.44779	0.3521084
28.43851	0.3545949
29.43014	0.3559566
30.42347	0.3563117
31.41531	0.3568766
32.39293	0.3579881
33.38884	0.3608025
34.40925	0.3647825
35.39896	0.3667409
36.41146	0.3689189
37.43479	0.3702606
38.42015	0.3708713
39.43566	0.3747354
40.42803	0.3789269
41.43087	0.3823097
42.42863	0.3855886
43.43534	0.3864133
44.45905	0.386553
45.44078	0.388101
46.45217	0.3897809
47.45218	0.3916776
48.44016	0.3929052
49.45091	0.3949062
50.44598	0.3981061
51.44012	0.4005209
52.4313	0.4043876
53.44425	0.4080327
54.44096	0.4088792
55.42685	0.4112995
56.42022	0.412843
57.40427	0.413552
58.39112	0.4164143
59.39552	0.4188147
60.41325	0.4217943
61.40685	0.4241035
62.42717	0.4264264
63.43304	0.4290149
64.39805	0.4311697
65.41867	0.4342377
66.41311	0.4375511
67.41338	0.4384583
68.44521	0.4401363
69.42046	0.4423836
70.41194	0.4426343
71.42184	0.4459892
72.41736	0.4493012
73.42557	0.452367
74.43313	0.456624
75.40371	0.4584112
76.38292	0.4591928
77.36118	0.4607157
78.34359	0.4617491
79.34648	0.4648861
80.37291	0.4669843
81.37143	0.4693504
82.38173	0.4724889
83.38789	0.4728518
84.36744	0.475124
85.39119	0.4779901
86.39637	0.4791752
87.40044	0.4819851
88.39368	0.4846115
89.37909	0.4855714
90.36639	0.4874571
91.35294	0.4905112
92.36435	0.4915992
93.38218	0.4933048
94.39514	0.4936871
95.40823	0.4947489
96.42096	0.4976917
97.40125	0.4993635
98.39511	0.5040943
98.94583	0.4661397
98.96143	0.4195365
98.51041	0.3682203
97.54236	0.3102196
96.54271	0.2894044
95.56794	0.2727891
94.56439	0.2575076
93.58181	0.2438456
92.57435	0.2301477
91.54663	0.2186954
90.55943	0.2076013
89.53207	0.1972896
88.52528	0.1892603
87.54986	0.1801685
86.53282	0.1721285
85.54131	0.1658696
84.54254	0.1581955
83.53069	0.151368
82.5237	0.1459842
81.51993	0.138234
80.52003	0.1317473
79.51698	0.1267806
78.52762	0.1215035
77.55891	0.1183506
76.56994	0.1146284
75.58916	0.1096934
74.5965	0.1030423
73.57593	0.09713749
72.57314	0.09177611
71.55285	0.08605031
70.54301	0.08289703
69.54005	0.07929918
68.50512	0.07476526
67.5013	0.072464
66.50768	0.07003166
65.5189	0.06614972
64.55315	0.06490918
63.59105	0.06125633
62.58218	0.0562893
61.58861	0.05299384
60.57869	0.04929797
59.5466	0.04733614
58.56001	0.04668104
57.55362	0.04441135
56.56689	0.04132139
55.57182	0.03698334
54.58108	0.03234091
53.57297	0.02996053
52.57758	0.0258809
51.58141	0.02385748
50.57948	0.02160167
49.58191	0.01766829
48.57687	0.01644804
47.59666	0.0147683
46.58206	0.01322667
45.59987	0.01261494
44.59167	0.01117965
43.56738	0.00930144
42.56031	0.006112335
41.54563	0.005275503
40.54652	0.005303175
39.56512	0.003912127
38.59434	0.00315805
37.60235	-6.228336E-5
36.60539	-0.00512873
35.59075	-0.009058032
34.57558	-0.01122502
33.57872	-0.01360279
32.55536	-0.01532981
31.56046	-0.01647658
30.54497	-0.01874575
29.53515	-0.0201479
28.5675	-0.02099939
27.5499	-0.02118104
26.58814	-0.02162196
25.59298	-0.02299783
24.59819	-0.02333111
23.62085	-0.02595593
22.6063	-0.02726067
21.60908	-0.02727394
20.60522	-0.02934178
19.5858	-0.03073725
18.59697	-0.03279779
17.59411	-0.03578843
16.58189	-0.03814122
15.5921	-0.03942748
14.58565	-0.04068685
13.57539	-0.0413593
12.59997	-0.04264174
11.5979	-0.04448387
10.59125	-0.04656141
9.606222	-0.0486466
8.623039	-0.04883675
7.642715	-0.0486329
6.63198	-0.04871903
5.63055	-0.04854459
4.609446	-0.05015684
3.615312	-0.05169084
2.641834	-0.05250295
1.660579	-0.05490111
0.6520872	-0.05587439
-0.3316604	-0.05729328
-1.29987	-0.05778635
-2.28415	-0.05812353
-3.267183	-0.05872545
-4.240112	-0.05979294
-5.245214	-0.06158787
-6.235077	-0.06238627
-7.240761	-0.06351995
-8.262014	-0.06481254
-9.273083	-0.06615441
-10.27001	-0.06717211
-11.26231	-0.06818459
-12.26158	-0.06853531
-13.24767	-0.06877932
-14.27426	-0.07063238
-15.26162	-0.07149263
-16.28111	-0.07241152
-17.28427	-0.07464434
-18.27835	-0.07505839
-19.24915	-0.07595411
-20.23701	-0.07677715
-21.244	-0.07673551
-22.24324	-0.07679745
-23.25493	-0.07670203
-24.25472	-0.07727377
-25.25196	-0.07738203
-26.21221	-0.07764703
-27.21854	-0.08011936
-28.22266	-0.08099774
-29.23576	-0.08119275
-30.29992	-0.08256402
-31.33921	-0.08147684
-32.34954	-0.08224479
-33.33305	-0.08246773
-34.29711	-0.08310479
-35.27867	-0.0848835
-36.26876	-0.08486754
-37.29881	-0.08760826
-38.30178	-0.08884264
-39.28214	-0.08838134
-40.27459	-0.09022476
-41.25196	-0.09028661
-42.27368	-0.09063194
-43.29906	-0.09150676
-44.31684	-0.09103131
-45.29951	-0.08936173
-46.28679	-0.09033892
-47.29512	-0.09066881
-48.26015	-0.0908671
-49.28402	-0.09213133
-50.25315	-0.09021322
-51.22676	-0.08911745
-52.25091	-0.08913541
-53.22939	-0.09130916
-54.24915	-0.09423967
-55.21807	-0.09650485
-56.20443	-0.0980484
-57.22404	-0.09843226
-58.22203	-0.09788897
-59.25896	-0.09940232
-60.25693	-0.1000624
-61.26095	-0.1002017
-62.26516	-0.1009832
-63.2551	-0.1005871
-64.26082	-0.1002856
-65.2663	-0.1008048
-66.28204	-0.101591
-67.29269	-0.1022416
-68.29894	-0.1023053
-69.26147	-0.1014738
-70.245	-0.09975408
-71.23174	-0.09880639
-72.23538	-0.09996461
-73.26443	-0.1017127
-74.26973	-0.1028812
-75.29321	-0.1046353
-76.28006	-0.1050465
-77.26941	-0.1054298
-78.26437	-0.1072503
-79.23874	-0.1076827
-80.24367	-0.1083998
-81.23915	-0.1087762
-82.23089	-0.1082159
-83.2413	-0.1074125
-84.23492	-0.1070936
-85.23067	-0.1075758
-86.23968	-0.1088126
-87.23931	-0.1086662
-88.24725	-0.1077599
-89.25562	-0.1062869
-90.25349	-0.1056557
-91.25256	-0.1077104
-92.25706	-0.109941
-93.23845	-0.1120527
-94.24278	-0.1135354
-95.24955	-0.1129539
-96.23962	-0.1126129
