Sin Funcionlizar	Sin Funcionlizar
mV	uA
Primeros 45	Primeros 45
11.72093	-0.08126414
10.69983	-0.07914113
9.688746	-0.07479259
8.70209	-0.07051925
7.713291	-0.06865059
6.74445	-0.0689116
5.792492	-0.06755378
4.794719	-0.06503339
3.76813	-0.05903218
2.72966	-0.05260366
1.738451	-0.0549522
0.7249734	-0.06354563
-0.2514458	-0.07649072
-1.193566	-0.08765389
-2.163471	-0.09294908
-3.134871	-0.088574
-4.107003	-0.07887544
-5.110077	-0.07352099
-6.121975	-0.0725406
-7.11601	-0.07632104
-8.134954	-0.08419804
-9.159947	-0.08769405
-10.17251	-0.0878089
-11.17819	-0.0871492
-12.1663	-0.08453053
-13.13841	-0.08099471
-14.14122	-0.07767028
-15.13304	-0.07508328
-16.13992	-0.07426943
-17.15363	-0.07749211
-18.16106	-0.07529294
-19.15574	-0.07442375
-20.14647	-0.07393824
-21.15134	-0.07030769
-22.15139	-0.0707866
-23.17439	-0.07172918
-24.17111	-0.07317644
-25.20045	-0.07532443
-26.16516	-0.08433848
-27.16098	-0.09434213
-28.1779	-0.1008914
-29.17402	-0.1123058
-30.20448	-0.1136678
-31.20713	-0.1083066
-32.20998	-0.1001037
-33.20168	-0.08310851
-34.21849	-0.07571973
-35.21482	-0.07568754
-36.20447	-0.0819287
-37.18032	-0.09324818
-38.16648	-0.09914244
-39.16221	-0.102459
-40.17368	-0.1041035
-41.198	-0.103039
-42.19589	-0.1025188
-43.19945	-0.1018451
-44.19178	-0.09925503
-45.18936	-0.0979431
-46.20167	-0.09613411
-47.22599	-0.09263992
-48.21781	-0.09016716
-49.20398	-0.08729172
-50.17291	-0.08550964
-51.14111	-0.08419943
-52.15026	-0.08117792
-53.15885	-0.08080153
-54.17457	-0.08117305
-55.17669	-0.0831433
-56.15166	-0.08754189
-57.14935	-0.09296443
-58.12659	-0.1003254
-59.11134	-0.1049601
-60.12799	-0.1087215
-61.13403	-0.1076068
-62.1755	-0.1028446
-63.18727	-0.09929423
-64.18823	-0.09506558
-65.17535	-0.09126067
-66.16605	-0.08403946
-67.19292	-0.07829684
-68.20496	-0.0764202
-69.20138	-0.07774904
-70.21052	-0.08343034
-71.1981	-0.08830239
-72.21738	-0.09080534
-73.22392	-0.09243963
-74.21567	-0.09419301
-75.1993	-0.09696686
-76.1869	-0.09982269
-77.17829	-0.1020792
-78.16737	-0.1051007
-79.18048	-0.1051279
-80.16402	-0.1046863
-81.17471	-0.10404
-82.16571	-0.1011744
-83.16739	-0.101002
-84.18192	-0.1026142
-85.18475	-0.1052372
-86.19551	-0.1102527
-87.17159	-0.112122
