VvsRef	A	VvsRef1	A1	VvsRef2	A2	VvsRef3	A3	VvsRef4	A4	VvsRef5	A5	VvsRef6	A6	VvsRef7	A7	VvsRef8	A8	VvsRef9	A9
Ru_1mM_F127_100.DTA-Ciclo-1.txt	Ru_1mM_F127_100.DTA-Ciclo-1.txt	Ru_1mM_F127_200.DTA-Ciclo-1.txt	Ru_1mM_F127_200.DTA-Ciclo-1.txt	Ru_1mM_F127_500.DTA-Ciclo-1.txt	Ru_1mM_F127_500.DTA-Ciclo-1.txt	Ru_1mM_F127_1000.DTA-Ciclo-1.txt	Ru_1mM_F127_1000.DTA-Ciclo-1.txt	Ru_1mM_F127_2000.DTA-Ciclo-1.txt	Ru_1mM_F127_2000.DTA-Ciclo-1.txt	Ru_1mM_F127_5000.DTA-Ciclo-1.txt	Ru_1mM_F127_5000.DTA-Ciclo-1.txt	Ru_1mM_F127_10000.DTA-Ciclo-1.txt	Ru_1mM_F127_10000.DTA-Ciclo-1.txt	Ru_1mM_F127_20000.DTA-Ciclo-1.txt	Ru_1mM_F127_20000.DTA-Ciclo-1.txt	Ru_1mM_F127_50000.DTA-Ciclo-1.txt	Ru_1mM_F127_50000.DTA-Ciclo-1.txt	Ru_1mM_F127_100000.DTA-Ciclo-1.txt	Ru_1mM_F127_100000.DTA-Ciclo-1.txt
-0.505994	-1.32852e-06	-0.505988	-1.14187e-06	-0.505985	-6.65966e-07	-0.505976	-2.54342e-07	-0.505922	6.24226e-07	-0.506158	2.73368e-06	-0.506228	6.40693e-06	-0.505877	1.35844e-05	-0.51617	1.55995e-05	-0.524781	3.22874e-05
-0.503978	-1.31606e-06	-0.503971	-1.13015e-06	-0.50398	-6.38117e-07	-0.503974	-2.8101e-07	-0.503911	6.38102e-07	-0.504015	2.81361e-06	-0.504225	6.92312e-06	-0.503975	1.42488e-05	-0.513467	1.55995e-05	-0.514167	2.22747e-05
-0.502003	-1.3033e-06	-0.501995	-1.11468e-06	-0.50198	-7.13469e-07	-0.501984	-2.5587e-07	-0.501884	7.26908e-07	-0.502012	2.79363e-06	-0.502023	7.05633e-06	-0.502473	1.42488e-05	-0.513467	1.55995e-05	-0.482828	2.89498e-05
-0.49999	-1.29143e-06	-0.499996	-1.10529e-06	-0.499977	-7.941e-07	-0.499948	-1.86143e-07	-0.499931	6.71404e-07	-0.50009	3.02008e-06	-0.50012	7.10628e-06	-0.49997	1.52456e-05	-0.520175	2.56123e-05	-0.478322	5.23129e-05
-0.497973	-1.27958e-06	-0.497972	-1.0884e-06	-0.497956	-7.11386e-07	-0.49795	-1.33917e-07	-0.497912	8.07389e-07	-0.498068	3.0334e-06	-0.498068	6.69e-06	-0.497967	1.45811e-05	-0.511664	8.92439e-06	-0.501051	5.56505e-05
-0.495978	-1.26695e-06	-0.495978	-1.07826e-06	-0.495976	-5.96795e-07	-0.495964	-5.86344e-08	-0.495943	7.4911e-07	-0.496105	2.92018e-06	-0.496265	7.00638e-06	-0.495564	1.42488e-05	-0.509161	1.55995e-05	-0.51627	4.56377e-05
-0.49399	-1.25516e-06	-0.493983	-1.06209e-06	-0.493995	-5.72696e-07	-0.493961	-7.24209e-09	-0.493932	7.93513e-07	-0.493922	2.9335e-06	-0.494263	7.03968e-06	-0.494062	1.39166e-05	-0.506458	1.55995e-05	-0.485632	4.56377e-05
-0.491987	-1.2434e-06	-0.491993	-1.05501e-06	-0.492005	-6.50132e-07	-0.491984	-8.63107e-09	-0.491921	7.5466e-07	-0.4921	2.95348e-06	-0.49231	7.12294e-06	-0.492561	1.49133e-05	-0.50816	8.92439e-06	-0.483329	4.89753e-05
-0.489985	-1.23234e-06	-0.48998	-1.03831e-06	-0.489985	-7.32985e-07	-0.489981	-5.04394e-08	-0.489894	7.74086e-07	-0.490057	3.27984e-06	-0.490258	6.97308e-06	-0.489757	1.52456e-05	-0.500851	8.92439e-06	-0.494743	6.23256e-05
-0.487979	-1.22022e-06	-0.48798	-1.02906e-06	-0.48797	-6.49993e-07	-0.487966	-8.76641e-08	-0.487891	8.01839e-07	-0.488055	3.13331e-06	-0.487955	7.03968e-06	-0.487654	1.42488e-05	-0.505156	1.2262e-05	-0.499349	5.56505e-05
-0.485965	-1.20967e-06	-0.485955	-1.01098e-06	-0.485964	-5.36444e-07	-0.485968	-1.40584e-07	-0.485872	7.68536e-07	-0.485972	3.08669e-06	-0.485852	6.95642e-06	-0.486553	1.45811e-05	-0.50015	1.89371e-05	-0.504956	1.55995e-05
