mV	uA	mV1	uA1	mV2	uA2	mV3	uA3	mV4	uA4	mV6	uA6	mV7	uA7	mV8	uA8	mV9	uA9	mV10	uA10	mV11	uA11
3 mV/seg	3 mV/seg	5 mV/seg	5 mV/seg	10 mV/seg	10 mV/seg	20 mV/seg	20 mV/seg	30 mV/seg	30 mV/seg	50 mV/seg	50 mV/seg	100 mV/seg	100 mV/seg	200 mV/seg	200 mV/seg	300 mV/seg	300 mV/seg	500 mV/seg	500 mV/seg	1000 mV/seg	1000 mV/seg
-543.1177	-5.347226	-543.5449	-2.842127	-543.5352	-2.809416	-543.5425	-2.862214	-544.0668	-3.046776	-543.5704	-2.967863	-543.5741	-2.143645	-543.6963	-1.398916	-543.5662	-0.931826	-544.0477	0.314233	-543.5197	1.221396
-542.1056	-5.300126	-542.5406	-2.82425	-542.5267	-2.78558	-542.5449	-2.820933	-543.0776	-3.028778	-542.577	-2.910394	-542.6187	-2.073117	-542.7029	-1.306868	-542.4736	-0.940697	-543.01	0.276975	-542.4634	1.270028
-541.0887	-5.258996	-541.5157	-2.804394	-541.499	-2.757577	-541.5361	-2.785596	-542.0326	-2.963885	-541.5434	-2.85091	-541.6161	-1.993193	-541.6862	-1.205353	-541.4321	-0.815159	-541.9924	0.222124	-541.4771	1.293659
-540.0857	-5.221858	-540.5165	-2.78678	-540.4987	-2.733022	-540.5201	-2.747405	-541.0358	-2.907347	-540.5284	-2.795099	-540.5945	-1.917391	-540.7306	-1.121937	-540.4656	-0.562405	-540.9746	0.203093	-540.525	1.290506
-539.0803	-5.179285	-539.5109	-2.769168	-539.5016	-2.707416	-539.5223	-2.714699	-540.0294	-2.889155	-539.5252	-2.73806	-539.6099	-1.844167	-539.7374	-1.030073	-539.5727	-0.319352	-539.9683	0.272661	-539.6053	1.301213
-538.0867	-5.139339	-538.5122	-2.75114	-538.4995	-2.682503	-538.523	-2.672956	-539.0269	-2.823046	-538.5046	-2.68019	-538.5675	-1.76637	-538.738	-0.932945	-538.4995	-0.207675	-539.0389	0.44469	-538.6795	1.311279
-537.0898	-5.104767	-537.5377	-2.73573	-537.5279	-2.661959	-537.5429	-2.642233	-538.0496	-2.772506	-537.5259	-2.626027	-537.6013	-1.694792	-537.7785	-0.8442	-537.5819	-0.239311	-538.1056	0.698718	-537.6948	1.342516
-536.1002	-5.065629	-536.5459	-2.718555	-536.5482	-2.636776	-536.5668	-2.603217	-537.0591	-2.755655	-536.5197	-2.570155	-536.6025	-1.621514	-536.7477	-0.748888	-536.478	-0.306584	-537.126	0.981973	-536.6672	1.422211
-535.0933	-5.024988	-535.5529	-2.701313	-535.5478	-2.612965	-535.563	-2.569551	-536.0728	-2.688117	-535.5232	-2.513691	-535.599	-1.540447	-535.7266	-0.65571	-535.4009	-0.278604	-536.1099	1.225043	-535.6498	1.538687
-534.0909	-4.991584	-534.5574	-2.685632	-534.5558	-2.587195	-534.5674	-2.533251	-535.0839	-2.64143	-534.5314	-2.456617	-534.6074	-1.470123	-534.7552	-0.564255	-534.4651	-0.066667	-535.036	1.384408	-534.6021	1.674619
-533.0883	-4.956685	-533.5553	-2.668247	-533.552	-2.558923	-533.5526	-2.49926	-534.0769	-2.621355	-533.5519	-2.398588	-533.5681	-1.387767	-533.7435	-0.462058	-533.4371	0.226421	-533.9719	1.432883	-533.52	1.860759
-532.0618	-4.916162	-532.5614	-2.651957	-532.537	-2.534229	-532.558	-2.461441	-533.0762	-2.551971	-532.5756	-2.341967	-532.5758	-1.311454	-532.7347	-0.367578	-532.4571	0.443867	-532.9836	1.398432	-532.499	2.043468
-531.0579	-4.883008	-531.5586	-2.636408	-531.5389	-2.507592	-531.5653	-2.427005	-532.0868	-2.507609	-531.5789	-2.284931	-531.6074	-1.233524	-531.7879	-0.268094	-531.4678	0.518226	-531.9937	1.345435	-531.5556	2.260031
-530.0536	-4.84998	-530.5524	-2.619335	-530.5445	-2.483112	-530.5869	-2.3904	-531.0811	-2.48534	-530.5949	-2.228214	-530.6189	-1.156152	-530.809	-0.165568	-530.4993	0.450035	-531.0235	1.33977	-530.6122	2.490073
-529.0374	-4.809966	-529.5443	-2.602309	-529.5441	-2.458315	-529.6072	-2.355077	-530.1032	-2.414395	-529.5842	-2.169093	-529.6577	-1.075232	-529.7675	-0.066085	-529.5612	0.405596	-530.0368	1.427989	-529.6572	2.720981
-528.0286	-4.776405	-528.5255	-2.584026	-528.5267	-2.430147	-528.5786	-2.31492	-529.097	-2.372733	-528.5509	-2.106427	-528.6429	-0.994224	-528.7299	0.037536	-528.5807	0.516251	-529.0004	1.624047	-528.6567	2.965385
-527.0225	-4.746317	-527.52	-2.567241	-527.5271	-2.405841	-527.579	-2.277483	-528.0778	-2.345681	-527.5406	-2.047089	-527.6281	-0.91434	-527.6719	0.132072	-527.5905	0.767879	-528.0547	1.897271	-527.5865	3.164484
-526.0016	-4.710756	-526.525	-2.55068	-526.5219	-2.379732	-526.5771	-2.241652	-527.0734	-2.271785	-526.53	-1.989132	-526.6334	-0.835993	-526.6438	0.232422	-526.6151	1.043971	-527.1086	2.190203	-526.5464	3.339519
-524.9992	-4.67828	-525.5247	-2.533935	-525.5184	-2.354744	-525.5503	-2.202921	-526.049	-2.233536	-525.5227	-1.929341	-525.6414	-0.753382	-525.6439	0.339633	-525.5742	1.213375	-526.124	2.44009	-525.6492	3.483593
-523.997	-4.649641	-524.5387	-2.519501	-524.5382	-2.33386	-524.5856	-2.172273	-525.0532	-2.204539	-524.5443	-1.873201	-524.6489	-0.68254	-524.6877	0.434172	-524.574	1.210395	-525.134	2.59372	-524.616	3.580613
-522.9883	-4.617508	-523.5421	-2.502664	-523.5355	-2.310017	-523.5876	-2.136039	-524.0814	-2.133153	-523.5314	-1.813967	-523.6254	-0.596421	-523.7047	0.533091	-523.5402	1.156843	-524.0992	2.646986	-523.6105	3.659078
-521.9739	-4.583381	-522.5369	-2.485261	-522.5314	-2.287187	-522.5681	-2.09986	-523.086	-2.099444	-522.532	-1.75444	-522.6188	-0.518119	-522.6925	0.642204	-522.3805	1.194213	-523.0711	2.626014	-522.5819	3.730942
-520.9579	-4.555567	-521.5373	-2.469927	-521.5286	-2.264337	-521.5804	-2.064691	-522.0841	-2.069064	-521.5192	-1.699374	-521.6066	-0.438604	-521.7332	0.747595	-521.3998	1.365922	-522.0848	2.585733	-521.4955	3.750849
-519.9456	-4.526337	-520.5323	-2.453629	-520.5244	-2.24012	-520.562	-2.030121	-521.0928	-1.997966	-520.5301	-1.642457	-520.5927	-0.356223	-520.6859	0.8507	-520.3966	1.660048	-521.1149	2.599974	-520.6294	3.789466
-518.9243	-4.490966	-519.5291	-2.438069	-519.5123	-2.215652	-519.5511	-1.992156	-520.0613	-1.968924	-519.5519	-1.585123	-519.6502	-0.276159	-519.7068	0.953125	-519.3505	1.904279	-520.1555	2.705197	-519.5817	3.825589
-517.9209	-4.460793	-518.534	-2.424913	-518.5117	-2.191838	-518.5469	-1.961043	-519.048	-1.935519	-518.5491	-1.528041	-518.643	-0.19758	-518.7148	1.061892	-518.4352	1.993313	-519.0828	2.911192	-518.593	3.861573
-516.9108	-4.432156	-517.5309	-2.409655	-517.517	-2.168091	-517.5574	-1.920945	-518.063	-1.863478	-517.5482	-1.468199	-517.6372	-0.111161	-517.6905	1.171185	-517.466	1.970392	-518.1191	3.201654	-517.6053	3.948908
-515.8861	-4.398227	-516.5165	-2.393672	-516.5078	-2.143893	-516.5424	-1.889382	-517.0414	-1.83614	-516.5368	-1.408919	-516.6322	-0.034248	-516.6926	1.277484	-516.5272	1.928673	-517.0858	3.50635	-516.5975	4.052564
-514.881	-4.369877	-515.5021	-2.377582	-515.4923	-2.12159	-515.5385	-1.849705	-516.0377	-1.796531	-515.5255	-1.349319	-515.5679	0.056031	-515.6714	1.386881	-515.5174	2.005042	-516.0129	3.765272	-515.7014	4.201542
-513.8744	-4.347225	-514.4878	-2.362102	-514.4817	-2.100174	-514.5313	-1.819209	-515.0362	-1.724796	-514.5232	-1.290992	-514.5717	0.133811	-514.6581	1.496275	-514.5139	2.254158	-515.0155	3.931107	-514.6949	4.369699
-512.8651	-4.319426	-513.4843	-2.348949	-513.4769	-2.08013	-513.5215	-1.784868	-514.0148	-1.702141	-513.5336	-1.23491	-513.5526	0.21679	-513.6699	1.603933	-513.4395	2.541649	-513.9273	3.986374	-513.695	4.571188
-511.8778	-4.293609	-512.4911	-2.336395	-512.4767	-2.061121	-512.5202	-1.756304	-513.0093	-1.663055	-512.5415	-1.178686	-512.5473	0.295525	-512.669	1.71132	-512.3257	2.749965	-512.9882	3.969846	-512.6407	4.786382
-510.8816	-4.272158	-511.5077	-2.325504	-511.5009	-2.041553	-511.5193	-1.723966	-512.0057	-1.599124	-511.5611	-1.125026	-511.5396	0.373188	-511.666	1.815967	-511.3641	2.813046	-511.9966	3.940324	-511.5593	5.023285
-509.874	-4.247104	-510.5154	-2.312552	-510.5121	-2.022527	-510.5323	-1.697114	-511.0215	-1.583563	-510.5398	-1.072276	-510.5274	0.45417	-510.6766	1.919044	-510.4223	2.767758	-511.0278	3.965142	-510.6036	5.275988
-508.8746	-4.220382	-509.5123	-2.296327	-509.509	-2.000685	-509.5183	-1.65945	-510.0399	-1.542971	-509.5264	-1.014741	-509.5203	0.537925	-509.6733	2.033486	-509.442	2.771743	-510.0517	4.088799	-509.5912	5.539137
-507.8716	-4.197509	-508.5203	-2.283411	-508.5121	-1.981214	-508.5238	-1.633378	-509.0509	-1.479894	-508.5281	-0.961723	-508.5599	0.614962	-508.6917	2.147038	-508.5431	2.913219	-509.0054	4.310637	-508.6148	5.780353
-506.8705	-4.17593	-507.5177	-2.269332	-507.519	-1.9643	-507.5451	-1.598886	-508.0615	-1.464247	-507.5181	-0.90864	-507.5802	0.701381	-507.7054	2.250617	-507.6007	3.17869	-508.076	4.609338	-507.6354	6.002165
-505.8727	-4.149863	-506.5216	-2.25442	-506.5136	-1.944106	-506.5537	-1.572039	-507.0543	-1.418998	-506.5363	-0.853346	-506.5775	0.777205	-506.6855	2.364591	-506.5804	3.459373	-507.1244	4.921275	-506.6428	6.202616
-504.8703	-4.124992	-505.5327	-2.2434	-505.5271	-1.928604	-505.5802	-1.541872	-506.0502	-1.359895	-505.5506	-0.803151	-505.6263	0.862136	-505.6929	2.4771	-505.6013	3.613998	-506.1392	5.179288	-505.6855	6.351143
-503.86	-4.104886	-504.5275	-2.229602	-504.5383	-1.910539	-504.5931	-1.515737	-505.0416	-1.346869	-504.5552	-0.75005	-504.6076	0.938709	-504.6967	2.580336	-504.5684	3.627529	-505.1154	5.350347	-504.7309	6.491892
-502.8437	-4.079474	-503.5241	-2.216363	-503.5222	-1.888042	-503.579	-1.481869	-504.0331	-1.299461	-503.5462	-0.696162	-503.6152	1.025139	-503.6876	2.690194	-503.5861	3.601802	-504.0858	5.414103	-503.7261	6.59501
-501.8401	-4.054705	-502.5242	-2.20498	-502.5256	-1.869628	-502.5717	-1.4559	-503.0201	-1.242254	-502.5735	-0.643445	-502.6424	1.104539	-502.7619	2.804584	-502.6397	3.644179	-503.0452	5.409633	-502.6876	6.683558
