Tension	Intensidad	Tension	Intensidad
mV	uA	mV	uA
Au CNEA Calcinado Ciclo 0 Ru 0.1mM	Au CNEA Calcinado Ciclo 1 Ru 0.1mM	Au CNEA Calcinado Ciclo 1 Ru 0.1mM	Au CNEA Calcinado Ciclo 1 Ru 0.1mM
-303.7758	-0.459404	-303.7107	2.236706
-302.77	-0.444337	-302.7121	2.225008
-301.7689	-0.426659	-301.7038	2.223069
-300.7908	-0.414801	-300.725	2.203782
-299.7976	-0.401009	-299.7132	2.198941
-298.8015	-0.384543	-298.6786	2.198416
-297.8134	-0.375592	-297.6801	2.183177
-296.807	-0.359757	-296.644	2.178841
-295.7906	-0.343429	-295.6434	2.170044
-294.8013	-0.332844	-294.6789	2.153041
-293.7987	-0.315626	-293.6838	2.141213
-292.7943	-0.300472	-292.7272	2.120899
-291.8011	-0.283706	-291.7527	2.102118
-290.7929	-0.266602	-290.7657	2.08417
-289.8071	-0.25226	-289.7626	2.063876
-288.8121	-0.23758	-288.7473	2.054941
-287.8225	-0.22439	-287.7243	2.044447
-286.8297	-0.208873	-286.6937	2.034501
-285.7961	-0.186445	-285.6689	2.031534
-284.7939	-0.17053	-284.6523	2.009327
-283.7887	-0.156396	-283.6539	1.983857
-282.7923	-0.14162	-282.6598	1.955779
-281.8178	-0.133264	-281.6985	1.918464
-280.8422	-0.120532	-280.7224	1.897767
-279.8497	-0.102263	-279.7315	1.880868
-278.8515	-0.087739	-278.7392	1.865834
-277.8501	-0.071229	-277.7119	1.858093
-276.849	-0.055418	-276.72	1.843119
-275.8327	-0.040863	-275.7161	1.825289
-274.8198	-0.02352	-274.7061	1.808657
-273.8152	-0.006363	-273.722	1.78612
-272.8018	0.018531	-272.6936	1.768542
-271.81	0.035474	-271.6867	1.74337
-270.8253	0.050663	-270.6957	1.718013
-269.825	0.067333	-269.713	1.698127
-268.81	0.073606	-268.7361	1.670439
-267.8041	0.088142	-267.7436	1.658146
-266.788	0.10557	-266.7404	1.647911
-265.7859	0.118421	-265.7138	1.626045
-264.7875	0.135298	-264.6982	1.611753
-263.7884	0.153174	-263.696	1.58919
-262.7851	0.169623	-262.6975	1.560963
-261.7757	0.191255	-261.6926	1.542811
-260.7831	0.21144	-260.6971	1.523593
-259.7712	0.230121	-259.6885	1.505305
-258.7667	0.243225	-258.6856	1.485802
-257.7609	0.252046	-257.6919	1.464494
-256.77	0.262401	-256.6907	1.443357
-255.8012	0.270126	-255.6882	1.418507
-254.8103	0.283872	-254.6878	1.400149
-253.8249	0.304466	-253.6848	1.384983
-252.8125	0.319599	-252.696	1.358733
-251.8017	0.33758	-251.7061	1.338001
-250.7839	0.356141	-250.7048	1.322553
-249.7911	0.365941	-249.727	1.297939
-248.8051	0.38305	-248.7182	1.287273
-247.7759	0.398867	-247.7071	1.278299
-246.7946	0.412165	-246.6964	1.259539
-245.7886	0.427833	-245.6602	1.243006
-244.7735	0.438106	-244.661	1.223281
-243.8058	0.447966	-243.6589	1.199358
-242.8146	0.460066	-242.6695	1.176755
-241.8152	0.47362	-241.6967	1.157099
-240.8202	0.490589	-240.6859	1.143714
-239.7988	0.503672	-239.7103	1.12604
-238.8113	0.513202	-238.7172	1.113195
-237.8052	0.525712	-237.7096	1.10567
-236.7943	0.530182	-236.7245	1.087594
-235.7971	0.543038	-235.7138	1.07596
-234.7685	0.561565	-234.684	1.065361
-233.7626	0.569145	-233.6829	1.042349
-232.7724	0.584161	-232.6784	1.024074
-231.7569	0.592773	-231.6739	1.006229
-230.7511	0.594248	-230.7134	0.986087
-229.7698	0.604273	-229.7132	0.972609
-228.7761	0.61236	-228.7075	0.963567
-227.8163	0.619505	-227.7301	0.956286
-226.8258	0.626145	-226.7173	0.946169
-225.8318	0.631751	-225.7279	0.933218
-224.8305	0.63935	-224.7285	0.922296
-223.8143	0.646587	-223.7228	0.904556
-222.8186	0.660635	-222.7247	0.891078
-221.7843	0.677347	-221.7119	0.882636
-220.7844	0.683276	-220.7238	0.86721
-219.787	0.690121	-219.7129	0.85581
-218.7787	0.692924	-218.7065	0.845996
-217.8046	0.685794	-217.7201	0.832453
-216.8038	0.690213	-216.7101	0.825186
-215.8083	0.696725	-215.7046	0.817845
-214.8017	0.700778	-214.6999	0.807451
-213.7861	0.710687	-213.6952	0.798389
-212.7683	0.718845	-212.7051	0.788113
-211.7558	0.724703	-211.7134	0.778121
-210.75	0.731525	-210.7086	0.76878
-209.7544	0.737031	-209.7129	0.758811
-208.7354	0.742158	-208.6907	0.752365
-207.7215	0.737856	-207.6622	0.742179
-206.7274	0.733134	-206.6692	0.733252
-205.7168	0.732982	-205.6515	0.72538
-204.7451	0.724861	-204.6651	0.712619
-203.7598	0.728753	-203.6774	0.70348
-202.7605	0.738108	-202.6685	0.695643
-201.7702	0.737706	-201.668	0.686126
-200.7616	0.743255	-200.6555	0.681291
-199.7585	0.746237	-199.6645	0.67732
