Tension	Intensidad	Tension	Intensidad	Tension	Intensidad	Tension	Intensidad	Tension	Intensidad	Tension	Intensidad
mv	uA	mV	uA	mV	uA	mV	uA	mv	uA	mV	uA
Au Control CNEA Calcinado SOlucion Fe 1mM	Au Control CNEA Calcinado SOlucion Fe 1mM	Au Control INTI As Sputter Fe 1mM	Au Control INTI As Sputter Fe 1mM	Au Control INTI Calcinado Fe 1mM	Au Control INTI Calcinado Fe 1mM	Au Control INTI Calcinado Ru 1mM	Au Control INTI Calcinado Ru 1mM	Au Control CNEA Calcinado Ru amino 1mM	Au Control CNEA Calcinado Ru amino 1mM	Au Control INTI As Sputter Ru 1mM	Au Control INTI As Sputter Ru 1mM
115.2797	-5.597661	115.2937	-6.01102	115.2727	-0.891667	-515.5844	-2.372785	-515.5453	-3.339011	-515.559	-4.260625
114.2753	-5.609327	114.3034	-6.018621	114.283	-0.898507	-514.5656	-2.368058	-514.5605	-3.33009	-514.5498	-4.24363
113.2723	-5.623107	113.2901	-6.029162	113.2753	-0.90533	-513.5768	-2.363751	-513.5518	-3.322067	-513.5609	-4.23024
112.2724	-5.632627	112.2856	-6.035501	112.2823	-0.910028	-512.5561	-2.360416	-512.5544	-3.312413	-512.5599	-4.21473
111.273	-5.642346	111.2901	-6.04048	111.2659	-0.915176	-511.5552	-2.356713	-511.5354	-3.302618	-511.5796	-4.198858
110.2799	-5.651979	110.2734	-6.045765	110.2514	-0.919613	-510.5702	-2.353548	-510.5242	-3.291489	-510.5849	-4.181361
109.312	-5.658693	109.2788	-6.044844	109.2442	-0.924344	-509.5629	-2.34936	-509.5242	-3.280594	-509.5612	-4.161599
108.2997	-5.667465	108.28	-6.042886	108.2398	-0.930834	-508.5809	-2.345112	-508.5484	-3.271707	-508.5623	-4.145662
107.3019	-5.674027	107.2983	-6.040756	107.2496	-0.937463	-507.577	-2.340906	-507.5618	-3.263907	-507.5652	-4.129587
106.2967	-5.681004	106.3191	-6.037126	106.2648	-0.944476	-506.5919	-2.336632	-506.5778	-3.256667	-506.5668	-4.113708
105.2726	-5.688504	105.332	-6.033273	105.2808	-0.950299	-505.5945	-2.332914	-505.5984	-3.248908	-505.5982	-4.099067
104.3114	-5.689666	104.3365	-6.029178	104.2989	-0.954164	-504.592	-2.329038	-504.5955	-3.240449	-504.5932	-4.081933
103.3131	-5.690795	103.3348	-6.023932	103.3149	-0.95907	-503.5941	-2.32546	-503.6096	-3.231321	-503.5962	-4.064797
102.3201	-5.68979	102.3298	-6.017372	102.3219	-0.961943	-502.5723	-2.321506	-502.6045	-3.221214	-502.6155	-4.049341
101.3446	-5.687117	101.3201	-6.010296	101.3062	-0.966318	-501.5635	-2.316561	-501.6127	-3.211754	-501.5916	-4.033382
100.3362	-5.690678	100.3298	-6.004924	100.2969	-0.97313	-500.5753	-2.31225	-500.6292	-3.203085	-500.6097	-4.017493
99.3509	-5.694633	99.33167	-5.995624	99.30085	-0.978633	-499.5777	-2.308363	-499.636	-3.195511	-499.6077	-4.00248
98.35213	-5.698553	98.34142	-5.985482	98.28058	-0.985344	-498.6045	-2.304238	-498.6442	-3.188234	-498.5969	-3.989334
97.33257	-5.70212	97.34016	-5.975921	97.29823	-0.99113	-497.6198	-2.30137	-497.6444	-3.180351	-497.5994	-3.973573
96.31073	-5.70059	96.3448	-5.96158	96.2952	-0.996683	-496.6172	-2.297364	-496.632	-3.17141	-496.5926	-3.959537
95.29387	-5.697464	95.34048	-5.947368	95.27702	-1.002345	-495.6169	-2.29334	-495.6139	-3.161595	-495.5993	-3.946863
94.27563	-5.69147	94.32117	-5.934975	94.27812	-1.007201	-494.6122	-2.289855	-494.5905	-3.150884	-494.5843	-3.933193
93.27077	-5.683883	93.32376	-5.922032	93.26149	-1.011117	-493.6187	-2.285246	-493.5897	-3.142046	-493.5716	-3.92007
92.26872	-5.677339	92.30399	-5.908135	92.25089	-1.013947	-492.6333	-2.281996	-492.5771	-3.134493	-492.5618	-3.907814
91.26816	-5.668869	91.29693	-5.8942	91.24955	-1.018343	-491.6096	-2.277452	-491.578	-3.126926	-491.54	-3.893265
