Tension	Intensidad	Tension	Intensidad
mV	uA	mV	uA
Au F127 INTI Calcinado CIclo 5 RU 1mM	Au F127 INTI Calcinado CIclo 5 RU 1mM	Au Control INTI Calcinado Ru 1mM	Au Control INTI Calcinado Ru 1mM
-234.6066	0.011146	-235.7751	-0.371454
-233.6156	0.014484	-234.7572	-0.356024
-232.6	0.018681	-233.7896	-0.341535
-231.608	0.022696	-232.7834	-0.325273
-230.6282	0.026261	-231.7746	-0.30861
-229.6426	0.030467	-230.7719	-0.293509
-228.6614	0.032921	-229.7618	-0.277614
-227.6721	0.036719	-228.7491	-0.262063
-226.6729	0.040902	-227.7605	-0.246482
-225.6647	0.044596	-226.7635	-0.229943
-224.6738	0.048966	-225.7856	-0.213272
-223.6746	0.05228	-224.8069	-0.197005
-222.6631	0.055414	-223.7954	-0.180834
-221.658	0.059256	-222.8111	-0.164964
-220.6484	0.062861	-221.7753	-0.147757
-219.6207	0.066217	-220.7549	-0.130813
-218.6256	0.069517	-219.7769	-0.113784
-217.6245	0.072206	-218.7467	-0.095757
-216.6217	0.07536	-217.7541	-0.079615
-215.6322	0.079521	-216.7496	-0.063267
-214.6311	0.08336	-215.7479	-0.045799
-213.6228	0.087778	-214.7598	-0.028561
-212.6194	0.092096	-213.7683	-0.009882
-211.6303	0.094987	-212.7751	0.009888
-210.6193	0.098017	-211.7637	0.028237
-209.615	0.100929	-210.7716	0.046546
-208.6004	0.104082	-209.7506	0.063929
-207.591	0.107407	-208.749	0.08146
-206.6071	0.111098	-207.7419	0.099157
-205.6188	0.114165	-206.7298	0.116585
-204.6435	0.117258	-205.7604	0.134661
-203.6582	0.120667	-204.7651	0.15232
-202.662	0.123838	-203.7603	0.170773
-201.6683	0.126884	-202.77	0.190003
-200.6722	0.130453	-201.7657	0.209844
-199.6565	0.134027	-200.753	0.229514
-198.6563	0.137162	-199.7571	0.248522
-197.6479	0.141549	-198.7579	0.267553
-196.6395	0.144964	-197.752	0.286183
-195.6435	0.148217	-196.7699	0.304501
-194.63	0.152366	-195.7802	0.323515
-193.6378	0.155818	-194.7813	0.342567
-192.6473	0.159327	-193.7958	0.361572
-191.661	0.162547	-192.7984	0.381314
-190.6874	0.165387	-191.7992	0.401968
-189.6809	0.167885	-190.8277	0.422596
-188.6808	0.170272	-189.7951	0.443428
-187.67	0.173624	-188.7977	0.463
-186.6458	0.177217	-187.7987	0.481712
-185.6523	0.181013	-186.7753	0.500625
-184.6479	0.18472	-185.8192	0.518593
-183.644	0.187632	-184.8069	0.537666
-182.6439	0.189905	-183.8096	0.557245
-181.6284	0.192694	-182.806	0.577086
-180.6454	0.195441	-181.7779	0.598206
-179.6581	0.198377	-180.7744	0.618631
-178.6783	0.202059	-179.7917	0.638565
-177.6866	0.205288	-178.8026	0.657728
-176.6648	0.208744	-177.7982	0.675514
-175.6903	0.212092	-176.81	0.694359
-174.701	0.214904	-175.8084	0.713286
-173.7231	0.217599	-174.8205	0.731745
-172.734	0.220306	-173.8347	0.751084
-171.7227	0.223619	-172.8447	0.769798
-170.6845	0.227269	-171.847	0.788615
-169.6798	0.231017	-170.8196	0.808288
-168.674	0.234819	-169.8259	0.827955
-167.6563	0.238765	-168.8194	0.847691
-166.6873	0.242559	-167.7871	0.866373
-165.6906	0.246097	-166.7847	0.884921
-164.6888	0.249221	-165.7811	0.902452
-163.6961	0.252445	-164.7715	0.920144
-162.6797	0.255048	-163.7817	0.939156
-161.6828	0.258126	-162.8064	0.958734
-160.6941	0.261351	-161.816	0.977604
-159.6774	0.263933	-160.8207	0.996353
-158.6709	0.267198	-159.8115	1.01448
-157.6298	0.271137	-158.8011	1.031773
-156.6195	0.274762	-157.7868	1.050353
-155.6472	0.278573	-156.7894	1.067446
-154.6579	0.281749	-155.7938	1.083833
-153.6815	0.284349	-154.7883	1.100605
-152.6921	0.28731	-153.7915	1.117218
-151.6892	0.290371	-152.7924	1.134933
-150.679	0.293783	-151.7877	1.154425
-149.7009	0.29766	-150.7904	1.172467
-148.7001	0.301719	-149.8047	1.190609
-147.6772	0.305453	-148.8036	1.208022
-146.6809	0.309611	-147.8205	1.224053
-145.6897	0.312482	-146.8218	1.240581
-144.6726	0.31625	-145.8145	1.256661
-143.6761	0.319574	-144.8104	1.273775
-142.6911	0.32251	-143.7946	1.291092
-141.6742	0.326071	-142.8006	1.308428
-140.6975	0.328823	-141.7816	1.325856
-139.7107	0.332627	-140.7922	1.342825
-138.6972	0.336206	-139.8084	1.358376
-137.7	0.339577	-138.796	1.374477
-136.684	0.342704	-137.8123	1.390488
-135.6836	0.3459	-136.8122	1.406485
-134.6934	0.349422	-135.8234	1.422855
-133.6734	0.353475	-134.8386	1.438274
-132.6704	0.35813	-133.8404	1.454308
-131.6488	0.362424	-132.84	1.470206
-130.6516	0.366826	-131.824	1.487029
-129.6711	0.370758	-130.813	1.503748
-128.6886	0.374191	-129.8134	1.52009
-127.7284	0.377228	-128.8105	1.53595
-126.7398	0.381067	-127.8216	1.550751
-125.7396	0.384966	-126.8463	1.566274
-124.7221	0.388792	-125.8467	1.582745
-123.7058	0.39348	-124.8611	1.598858
-122.6869	0.397255	-123.8792	1.615
-121.6854	0.401024	-122.8752	1.631012
-120.7058	0.405518	-121.895	1.645921
-119.7069	0.409469	-120.893	1.66154
-118.7023	0.412876	-119.8716	1.678334
-117.6801	0.416546	-118.8393	1.695021
-116.6929	0.419504	-117.8174	1.709679
-115.6887	0.422451	-116.8194	1.723584
-114.7182	0.426509	-115.8299	1.73641
-113.7405	0.431223	-114.8589	1.749018
-112.7302	0.4364	-113.852	1.762912
-111.7262	0.441013	-112.84	1.77997
-110.7146	0.445699	-111.8244	1.794679
-109.7078	0.449969	-110.8125	1.809309
-108.7066	0.453752	-109.8101	1.825416
-107.7196	0.458181	-108.8067	1.838465
-106.6864	0.462686	-107.8204	1.854321
-105.6703	0.467194	-106.8247	1.870047
-104.6492	0.471726	-105.8383	1.88457
-103.6276	0.476567	-104.8341	1.899208
-102.6459	0.480775	-103.8151	1.913538
-101.679	0.48515	-102.8028	1.928158
-100.69	0.489563	-101.8105	1.942762
-99.69744	0.494126	-100.8193	1.957392
-98.70528	0.498319	-99.82556	1.972683
-97.68595	0.502505	-98.83804	1.986586
-96.6881	0.506864	-97.82535	1.999771
-95.70743	0.511298	-96.83035	2.01333
-94.71156	0.516051	-95.84888	2.025925
-93.69774	0.521496	-94.84792	2.039689
-92.68709	0.526976	-93.83668	2.054574
-91.68959	0.531976	-92.85335	2.068471
-90.68571	0.53714	-91.84828	2.082554
-89.71803	0.541443	-90.85168	2.097889
-88.73692	0.545862	-89.85732	2.111109
