Tension	Intensidad	Tension	Intensidad
mV	uA	mV	uA
Au F127 INTI Baja Temperatura CIclo 1 RU 0.1mM	Au F127 INTI Baja Temperatura CIclo 1 RU 0.1mM	Au F127 INTI Baja Temperatura Ciclo 2  RU 0.1mM	Au F127 INTI Baja Temperatura Ciclo 2  RU 0.1mM
-200.7044	-0.002402	-200.6671	1.121537
-199.7143	-2.7E-4	-199.6647	1.108103
-198.7311	0.002015	-198.6816	1.09305
-197.7158	0.005437	-197.6838	1.077912
-196.7179	0.008387	-196.6826	1.065138
-195.7079	0.010837	-195.6776	1.054688
-194.7072	0.012343	-194.6658	1.044289
-193.7146	0.012827	-193.6665	1.03502
-192.7078	0.012985	-192.6349	1.022588
-191.7309	0.014365	-191.6334	1.008688
-190.7254	0.016494	-190.6375	0.996208
-189.7317	0.01918	-189.6311	0.989066
-188.7222	0.021406	-188.66	0.978336
-187.709	0.023498	-187.6625	0.969203
-186.7142	0.025732	-186.6602	0.959515
-185.7128	0.027106	-185.6678	0.94445
-184.7238	0.030907	-184.6671	0.934785
-183.7257	0.032744	-183.6631	0.923895
-182.7392	0.033833	-182.6809	0.915992
-181.7365	0.035013	-181.6923	0.908071
-180.7478	0.034686	-180.6769	0.898361
-179.7688	0.034773	-179.6768	0.888545
-178.7606	0.03527	-178.6796	0.877296
-177.768	0.037846	-177.6726	0.867231
-176.7705	0.040396	-176.6771	0.858662
-175.77	0.042171	-175.6834	0.849599
-174.7798	0.04417	-174.67	0.840557
-173.7685	0.043957	-173.6728	0.832587
-172.7626	0.044776	-172.7031	0.825066
-171.7563	0.048307	-171.7124	0.81917
-170.7322	0.050653	-170.7001	0.813655
-169.7425	0.052171	-169.6907	0.806633
-168.736	0.052821	-168.6775	0.798366
-167.7439	0.052004	-167.6754	0.789065
-166.7567	0.051488	-166.6953	0.779974
-165.7574	0.05306	-165.706	0.771811
-164.7647	0.055308	-164.7044	0.765783
-163.7408	0.056847	-163.7031	0.759287
-162.7663	0.057267	-162.6944	0.753397
-161.7736	0.057327	-161.695	0.746582
-160.7626	0.057971	-160.6915	0.7413
-159.7644	0.059833	-159.6908	0.736072
-158.7421	0.063494	-158.6777	0.730659
-157.7121	0.065325	-157.6445	0.72707
-156.6965	0.065268	-156.6297	0.721333
-155.6956	0.064354	-155.6289	0.715784
-154.6812	0.063554	-154.6573	0.710011
-153.7045	0.064214	-153.6709	0.701685
-152.7179	0.064725	-152.6877	0.694966
-151.732	0.065705	-151.6842	0.689465
-150.7495	0.066416	-150.6798	0.683646
-149.7611	0.066963	-149.6909	0.680272
-148.7784	0.069185	-148.7069	0.676247
-147.7664	0.071726	-147.7233	0.670884
-146.7554	0.074332	-146.7239	0.665654
-145.7385	0.076291	-145.7113	0.660827
-144.7098	0.078398	-144.6982	0.657948
-143.7141	0.079561	-143.7111	0.655779
-142.7204	0.078134	-142.714	0.653006
-141.7194	0.077303	-141.7256	0.648747
