Funcionalizado DHDP 3mM	Funcionalizado DHDP 3mM
mV	uA
	
313.2679	-0.05496375
312.2838	-0.05439726
311.2821	-0.05488732
310.2941	-0.0555883
309.2916	-0.0560083
308.2867	-0.05816686
307.3023	-0.05919376
306.3243	-0.06009137
305.3364	-0.06236162
304.3211	-0.06408556
303.3034	-0.06589353
302.2484	-0.06786279
301.2311	-0.06858429
300.2173	-0.06875879
299.2122	-0.0691739
298.2415	-0.06998493
297.2448	-0.07068627
296.2628	-0.07089304
295.2633	-0.0719117
294.2655	-0.07168733
293.2874	-0.07113215
292.2868	-0.07153478
291.2898	-0.07146905
290.2834	-0.07268102
289.2523	-0.0750886
288.2424	-0.07710473
287.2452	-0.07894611
286.2318	-0.08044983
285.236	-0.08147019
284.2341	-0.08255941
283.2454	-0.08333554
282.2686	-0.08382051
281.2852	-0.08408922
280.3119	-0.08413144
279.301	-0.08477519
278.2807	-0.08595453
277.2891	-0.08675645
276.2472	-0.08819738
275.2409	-0.08897382
274.2453	-0.0887621
273.2203	-0.08933164
272.2304	-0.09024002
271.2408	-0.09152337
270.2494	-0.09358107
269.2624	-0.09543118
268.2802	-0.09686388
267.2647	-0.09830651
266.2517	-0.0998255
265.2507	-0.1011999
264.2554	-0.1017794
263.2595	-0.1022773
262.277	-0.1026958
261.2899	-0.102568
260.2643	-0.1038643
259.2709	-0.1046101
258.2702	-0.1051697
257.2504	-0.1068867
256.2949	-0.1069909
255.3022	-0.1070822
254.3028	-0.1077949
253.333	-0.1079552
252.3119	-0.1098905
251.3031	-0.1122779
250.3033	-0.1142122
249.2888	-0.1163798
248.2715	-0.1175229
247.2636	-0.1192101
246.2473	-0.1206579
245.2307	-0.1213109
244.2288	-0.1226443
243.2638	-0.1225068
242.2789	-0.1221789
241.2841	-0.123412
240.2951	-0.1237877
239.2574	-0.1255033
238.2466	-0.1279949
237.2179	-0.1286916
236.222	-0.129154
235.2419	-0.1299602
234.2326	-0.1308627
233.25	-0.1329963
232.2509	-0.1358733
231.2523	-0.1386513
230.2708	-0.1403641
229.3185	-0.1414547
228.3229	-0.1434222
227.3031	-0.1445469
226.2929	-0.145652
225.2552	-0.1477583
224.2375	-0.1486116
223.2505	-0.1495015
222.2604	-0.1510924
221.2601	-0.1521595
220.2851	-0.1525952
219.2937	-0.1553912
218.2889	-0.1573131
217.2951	-0.1586517
216.2952	-0.1611418
215.2953	-0.162281
214.3052	-0.1643098
213.319	-0.16637
212.3157	-0.1681758
211.3102	-0.1705826
210.3117	-0.1710334
209.282	-0.1736303
208.2673	-0.1751864
207.2908	-0.1756664
206.2956	-0.178391
205.324	-0.1791261
204.3633	-0.1812022
203.3722	-0.183288
202.3674	-0.185362
201.3632	-0.1887287
200.3414	-0.1908052
199.3026	-0.1928996
198.32	-0.1946589
197.3202	-0.1952269
196.3004	-0.1978225
195.2915	-0.2004095
194.2838	-0.2031623
193.2862	-0.2060311
192.2897	-0.2076432
191.3182	-0.2091044
190.3095	-0.2112751
189.3025	-0.213006
188.3064	-0.2150788
187.3067	-0.2181377
186.3028	-0.22054
185.2978	-0.2235123
184.2703	-0.2257647
183.2611	-0.2277643
182.2575	-0.2296986
181.2523	-0.2314925
180.2849	-0.2343806
179.3035	-0.2369406
178.3179	-0.2392545
177.3385	-0.2426591
176.3386	-0.2452976
175.3277	-0.2479466
174.3181	-0.2511768
173.3018	-0.2530515
172.3086	-0.2551542
171.3056	-0.2569564
170.311	-0.2588092
169.3139	-0.2612041
168.3111	-0.2634422
167.289	-0.2670383
166.2782	-0.26961
165.2876	-0.2716398
164.2827	-0.274491
163.2925	-0.275302
162.3057	-0.2776309
161.2996	-0.2812382
160.2972	-0.2845543
159.3048	-0.2884008
158.3071	-0.291835
157.3072	-0.2942095
156.3034	-0.2966602
155.3026	-0.2987763
154.2869	-0.3003217
153.2797	-0.301973
152.3071	-0.3027275
151.3133	-0.3050126
150.3249	-0.3076635
149.3267	-0.3096565
148.2962	-0.3133646
147.2783	-0.3160517
146.2606	-0.3177111
145.2467	-0.320375
144.2419	-0.3212742
143.2317	-0.3221906
142.2361	-0.3249175
141.2702	-0.3274625
140.2806	-0.3308975
139.3171	-0.3339967
138.3174	-0.3368773
137.3024	-0.3397348
136.305	-0.3416716
135.2913	-0.3446521
134.3036	-0.3466169
133.3076	-0.3476554
132.3132	-0.3502943
131.3041	-0.3518845
