WE1	Volts(mV)	WE1	Volts(mV)	WE1	Volts(mV)	WE1	Volts(mV)	WE1	Volts(mV)
ACV - Primera 1hz.teq4_2col	ACV - Primera 1hz.teq4_2col	ACV - Primera 2hz.teq4_2col	ACV - Primera 2hz.teq4_2col	ACV - Primera 5hz.teq4_2col	ACV - Primera 5hz.teq4_2col	ACV - Primera 10hz - bis.teq4_2col	ACV - Primera 10hz - bis.teq4_2col	ACV - Primera 25hz.teq4_2col	ACV - Primera 25hz.teq4_2col
-303.0366	2.882226	-451.5078	2.29757	-452.1384	1.204184	-452.5449	3.556431	-526.0362	1.398707
-300.9857	2.873735	-450.4266	1.602061	-451.2455	1.232706	-451.5117	3.503739	-525.5769	1.39211
-298.9374	3.079854	-449.4921	0.677425	-450.2123	1.250993	-450.4422	3.466965	-525.0502	1.382217
-296.9442	3.270094	-448.4705	0.304943	-449.3122	1.213195	-449.3174	3.38908	-524.6913	1.374373
-294.9363	3.216328	-447.3937	0.953428	-448.4523	1.261894	-448.304	3.251851	-524.1335	1.371355
-292.9514	3.063378	-446.3743	1.099872	-447.4885	1.210702	-447.2794	3.060452	-523.6253	1.383336
-290.9355	3.06508	-445.2414	0.703275	-446.5371	1.165785	-446.2449	2.837112	-523.0752	1.387782
-288.9377	3.236707	-444.2267	0.103846	-445.4917	1.162453	-445.3272	2.622989	-522.5093	1.400154
-286.9558	3.40954	-443.2344	1.101065	-444.397	1.065599	-444.2967	2.409763	-522.0172	1.41032
-284.9438	3.345185	-442.3151	2.00201	-443.3308	1.071603	-443.2519	2.102808	-521.4532	1.413958
-283.03	3.167765	-441.3449	2.504044	-442.3382	1.052039	-442.3726	1.75457	-520.9404	1.436
-281.0854	3.200215	-440.354	2.533306	-441.3905	0.989335	-441.4288	1.4229	-520.4966	1.443154
-279.0457	3.374385	-439.33	1.933191	-440.4527	1.010548	-440.4408	1.125249	-520.0875	1.458505
-276.9994	3.502338	-438.309	1.010993	-439.537	1.030711	-439.468	0.922604	-519.5839	1.460395
-275.0033	3.406267	-437.3121	0.004175	-438.4767	1.045986	-438.4375	0.731744	-519.1715	1.450089
-273.0079	3.225659	-436.3228	0.763282	-437.4181	1.137973	-437.3748	0.496762	-518.6537	1.456478
-271.1455	3.264473	-435.2665	1.001907	-436.3139	1.15991	-436.3571	0.237084	-518.1591	1.445939
-269.0982	3.432869	-434.2534	0.669131	-435.2315	1.205764	-435.2959	0.020147	-517.8041	1.451916
-267.0869	3.512599	-433.3044	0.142136	-434.3499	1.254905	-434.2758	0.145026	-517.3425	1.470986
-265.0769	3.412599	-432.3303	1.169322	-433.3331	1.25135	-433.2559	0.307533	-516.8072	1.459369
-262.884	3.150398	-431.5338	2.076443	-432.4141	1.3126	-432.2887	0.435532	-516.2244	1.473454
-260.913	3.113261	-430.5066	2.529385	-431.4163	1.342257	-431.3301	0.545895	-515.6462	1.468812
