E	0s
V	j / ma * cm^2
0.051262	-0.157503333333333
0.052254	-0.156523333333333
0.053256	-0.155456666666667
0.054241	-0.154573333333333
0.055223	-0.153466666666667
0.05621	-0.152423333333333
0.057209	-0.15142
0.058221	-0.150256666666667
0.059227	-0.149106666666667
0.060248	-0.147916666666667
0.061253	-0.146766666666667
0.062249	-0.145743333333333
0.063252	-0.14462
0.06424	-0.143563333333333
0.06523	-0.142396666666667
0.066248	-0.14094
0.067274	-0.139623333333333
0.068282	-0.138226666666667
0.069299	-0.136766666666667
0.070272	-0.13552
0.071252	-0.134093333333333
0.072264	-0.13266
0.073272	-0.13125
0.074291	-0.129696666666667
0.075271	-0.12816
0.076253	-0.126553333333333
0.077232	-0.124896666666667
0.078211	-0.123293333333333
0.079207	-0.121623333333333
0.080199	-0.120066666666667
0.081192	-0.118496666666667
0.082217	-0.11686
0.083228	-0.11531
0.084231	-0.113526666666667
0.085256	-0.111606666666667
0.08623	-0.10969
0.087234	-0.10753
0.088231	-0.105403333333333
0.089221	-0.103396666666667
0.090227	-0.101243333333333
0.091232	-0.0992
0.092229	-0.0972833333333333
0.093217	-0.0953666666666667
0.094222	-0.0933
0.095219	-0.0911733333333333
0.096228	-0.0890733333333333
0.097235	-0.08677
0.098261	-0.08435
0.099267	-0.0820566666666667
0.100274	-0.0794866666666667
0.101283	-0.07691
0.102259	-0.0747266666666667
0.103259	-0.07227
0.104252	-0.06974
0.105237	-0.0672133333333333
0.106232	-0.0644566666666667
0.107217	-0.0616533333333333
0.108224	-0.0588666666666667
0.10922	-0.0560466666666667
0.110215	-0.0531833333333333
0.111231	-0.0501866666666667
0.112227	-0.04733
0.113217	-0.0444133333333333
0.114232	-0.04133
0.115206	-0.0385
0.116196	-0.0353433333333333
0.11721	-0.0319633333333333
0.11819	-0.0287566666666667
0.119192	-0.0253366666666667
0.1202	-0.0219266666666667
0.121213	-0.01866
0.122221	-0.0152133333333333
0.123215	-0.01169
0.124225	-0.00806666666666667
0.125218	-0.00455
0.126211	-0.0011
0.127232	0.00248333333333333
0.128224	0.00594333333333333
0.129202	0.00962
0.130227	0.01359
0.131222	0.0172966666666667
0.132195	0.02103
0.13321	0.0248566666666667
0.134175	0.0285166666666667
0.13516	0.03245
0.136163	0.0365966666666667
0.137165	0.0408066666666667
0.138168	0.0450633333333333
0.139172	0.0492433333333333
0.140179	0.0533933333333333
0.141165	0.0575033333333333
0.142168	0.0616
0.143171	0.06593
0.144158	0.07021
0.145156	0.07452
0.146161	0.0791
0.14717	0.08357
0.148193	0.0881633333333333
0.149208	0.0928866666666667
0.150213	0.0974766666666667
0.15123	0.10207
0.152212	0.1066
0.153185	0.11103
0.154178	0.115613333333333
0.155146	0.120203333333333
0.156162	0.12498
0.157182	0.129873333333333
0.158175	0.13466
0.159184	0.139586666666667
0.160172	0.14439
0.161154	0.14921
0.16217	0.15417
0.163167	0.158953333333333
0.164166	0.163836666666667
0.165164	0.168746666666667
0.166157	0.173526666666667
0.167139	0.178633333333333
0.168147	0.183796666666667
0.169168	0.188886666666667
0.170169	0.1941
0.171202	0.19912
0.172191	0.204046666666667
0.173186	0.209063333333333
0.17419	0.214113333333333
0.175176	0.219306666666667
0.176187	0.22453
0.177197	0.229783333333333
0.178199	0.235023333333333
0.179196	0.239986666666667
0.180185	0.244986666666667
0.181181	0.24999
0.182164	0.25475
0.183154	0.2597
0.184153	0.264706666666667
0.185128	0.26961
0.186133	0.27484
0.18715	0.28013
0.188156	0.285436666666667
0.189172	0.290706666666667
0.190163	0.29582
0.191156	0.300743333333333
0.192151	0.30548
0.193154	0.310243333333333
0.194168	0.31524
0.195164	0.320163333333333
0.196163	0.325203333333333
0.197162	0.330316666666667
0.198146	0.335126666666667
0.199155	0.34018
0.200194	0.345206666666667
0.201182	0.350106666666667
0.202207	0.354986666666667
0.203195	0.359653333333333
0.204166	0.364296666666667
0.205167	0.368883333333333
0.206131	0.373503333333333
0.207142	0.37829
0.208114	0.38288
0.209137	0.3875
0.21016	0.392183333333333
0.211141	0.39655
0.212164	0.401123333333333
0.213162	0.40581
0.214156	0.410276666666667
0.215184	0.41481
0.216183	0.419143333333333
0.217158	0.423133333333333
0.218142	0.427223333333333
0.219131	0.43127
0.220121	0.43534
0.221121	0.439493333333333
0.222137	0.44357
0.22313	0.44767
0.224135	0.45161
0.225146	0.455506666666667
0.226158	0.459426666666667
0.227161	0.46297
0.228159	0.466536666666667
0.229147	0.47003
0.230116	0.473233333333333
0.231099	0.476723333333333
0.232085	0.480226666666667
0.233092	0.483596666666667
0.234103	0.487013333333333
0.235112	0.490206666666667
0.236128	0.493226666666667
0.237126	0.49614
0.238121	0.499006666666667
0.239129	0.501983333333333
0.240091	0.50475
0.241084	0.50754
0.242098	0.510373333333333
0.243097	0.51287
0.244122	0.51548
0.245134	0.518086666666667
0.246109	0.520316666666667
0.247094	0.522596666666667
0.248114	0.52476
0.249103	0.52672
0.25013	0.528813333333333
0.251156	0.530846666666667
0.252155	0.53291
0.253165	0.534786666666667
0.254157	0.53647
0.255146	0.538096666666667
0.25614	0.53939
0.257133	0.540693333333333
0.258133	0.542076666666667
0.259101	0.543193333333333
0.260108	0.54438
0.261101	0.545633333333333
0.262087	0.546573333333333
0.263121	0.547616666666667
0.264113	0.54859
0.265112	0.54936
0.266109	0.55005
0.267098	0.550526666666667
0.268085	0.550903333333333
0.269079	0.551196666666667
0.270061	0.551496666666667
0.271072	0.551946666666667
0.272074	0.552213333333333
0.273085	0.552386666666667
0.274122	0.552606666666667
0.275111	0.552466666666667
0.276118	0.552336666666667
0.277133	0.552236666666667
0.278115	0.551816666666667
0.279105	0.551453333333333
0.280092	0.551033333333333
0.281066	0.55046
0.282062	0.550006666666667
0.283058	0.54949
0.284076	0.548886666666667
0.285094	0.548203333333333
0.286103	0.54732
0.287116	0.546423333333333
0.288082	0.54543
0.289057	0.544443333333333
0.290066	0.54356
0.291067	0.542543333333333
0.292083	0.54151
0.293102	0.540406666666667
0.294101	0.53913
0.295093	0.537883333333333
0.296092	0.536543333333333
0.297094	0.53515
0.298077	0.533726666666667
0.299088	0.53224
0.300094	0.530776666666667
0.301079	0.529333333333333
0.302095	0.52791
0.303113	0.526536666666667
0.304136	0.524956666666667
0.30514	0.523276666666667
0.306159	0.52155
0.307124	0.519593333333333
0.308094	0.517833333333333
0.309102	0.516136666666667
0.310057	0.514323333333333
0.311051	0.5127
0.312049	0.51101
0.313031	0.509156666666667
0.31405	0.50742
0.315059	0.505563333333333
0.316078	0.50371
0.3171	0.501803333333333
0.318095	0.499846666666667
0.319103	0.49798
0.320067	0.496033333333333
0.321043	0.494286666666667
0.322058	0.492623333333333
0.32306	0.49071
0.324096	0.488873333333333
0.325111	0.48697
0.326089	0.484856666666667
0.327088	0.482973333333333
0.328086	0.4811
0.329078	0.479163333333333
0.330095	0.47733
0.331082	0.47545
0.332073	0.473586666666667
0.333075	0.4717
0.33407	0.469856666666667
0.335084	0.468076666666667
0.336087	0.466076666666667
0.337081	0.464183333333333
0.338073	0.46238
0.339057	0.46039
0.340043	0.458663333333333
0.341042	0.457046666666667
0.342038	0.455196666666667
0.343037	0.453483333333333
0.344039	0.45164
0.345031	0.44962
0.346014	0.44781
0.346998	0.446033333333333
0.348004	0.44435
0.349004	0.44268
0.350032	0.440936666666667
0.351053	0.43929
0.352038	0.4376
0.353063	0.435976666666667
0.354083	0.434536666666667
0.355092	0.432716666666667
0.356103	0.43096
0.357097	0.429283333333333
0.358063	0.427353333333333
0.359042	0.425786666666667
0.360043	0.42427
0.361048	0.422663333333333
0.362051	0.42119
0.363047	0.4196
0.364044	0.417946666666667
0.365048	0.4164
0.366057	0.414913333333333
0.367076	0.413516666666667
0.368081	0.412016666666667
0.369057	0.410476666666667
0.370044	0.40898
0.371044	0.40739
0.372045	0.40604
0.373041	0.40471
0.374059	0.403203333333333
0.37505	0.401823333333333
0.376044	0.400326666666667
0.377062	0.398803333333333
0.378045	0.397486666666667
0.379073	0.39615
0.380096	0.394863333333333
0.381099	0.39359
0.382098	0.392246666666667
0.383082	0.39095
0.384055	0.389583333333333
0.385049	0.38831
0.386058	0.387093333333333
0.387064	0.38568
0.388072	0.384443333333333
0.389079	0.3832
0.390057	0.38185
0.39106	0.380803333333333
0.392069	0.37972
0.393075	0.37858
0.394111	0.377473333333333
0.395077	0.376263333333333
0.396078	0.375003333333333
0.397058	0.373776666666667
0.398065	0.37267
0.399093	0.371653333333333
0.400087	0.37054
0.401092	0.36952
0.402062	0.368546666666667
0.403061	0.36737
0.404085	0.366423333333333
0.405119	0.365476666666667
0.406147	0.364276666666667
0.407165	0.363203333333333
0.408152	0.36212
0.409127	0.360946666666667
0.41012	0.360023333333333
0.411112	0.359146666666667
0.412103	0.35825
0.413099	0.357293333333333
0.414076	0.35627
0.41507	0.35532
0.416063	0.354246666666667
0.417066	0.35332
