Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA
Ru T4 50mv/seg	Ru T4 50mv/seg	Ru T9 50mv/seg - Adsorbido	Ru T9 50mv/seg - Adsorbido	au Control	
-286.559	5.801348	-286.4752	7.937195	-286.6848	-9.387538
-285.5304	6.014377	-285.4448	7.991694	-285.6575	-9.224436
-284.5263	6.187788	-284.4427	8.022899	-284.6457	-9.080402
-283.5242	6.345492	-283.4517	8.041435	-283.6471	-8.928732
-282.5111	6.487384	-282.4554	8.054687	-282.648	-8.783757
-281.5332	6.596359	-281.4828	8.040863	-281.6666	-8.65589
-280.5227	6.738337	-280.5045	8.04528	-280.6816	-8.50299
-279.5184	6.894039	-279.5172	8.055839	-279.6709	-8.340371
-278.5198	7.05582	-278.5175	8.064969	-278.6956	-8.177234
-277.5189	7.245961	-277.545	8.089622	-277.6993	-7.995533
-276.5242	7.422741	-276.5424	8.110168	-276.7104	-7.806716
-275.548	7.591781	-275.5278	8.126302	-275.7141	-7.616499
-274.551	7.767815	-274.5305	8.141698	-274.6971	-7.416952
-273.5531	7.928521	-273.5071	8.152183	-273.6853	-7.21239
-272.5355	8.1047	-272.4696	8.166542	-272.6561	-6.995962
-271.5285	8.261413	-271.4791	8.164457	-271.6771	-6.800112
-270.5303	8.410599	-270.4912	8.156814	-270.6729	-6.601183
-269.5223	8.572911	-269.4713	8.154686	-269.6888	-6.391627
-268.5346	8.709599	-268.4997	8.13149	-268.7076	-6.207621
-267.5177	8.886011	-267.4937	8.128162	-267.7184	-5.982104
-266.5291	9.081379	-266.5014	8.138424	-266.7143	-5.737065
-265.5173	9.250212	-265.5067	8.129916	-265.7091	-5.495355
-264.5142	9.43795	-264.4967	8.132032	-264.6912	-5.22687
-263.5336	9.609479	-263.5104	8.125664	-263.6804	-4.966531
-262.5119	9.753183	-262.4879	8.099099	-262.6653	-4.709331
-261.497	9.922997	-261.5075	8.080803	-261.6533	-4.441921
-260.4957	10.0974	-260.5056	8.062815	-260.6705	-4.169425
-259.4496	10.27683	-259.4968	8.046783	-259.6494	-3.885078
-258.4249	10.45995	-258.4893	8.029055	-258.668	-3.60605
-257.4634	10.63122	-257.4683	8.005491	-257.6687	-3.330179
-256.4659	10.80391	-256.4534	7.983035	-256.6678	-3.036644
-255.5031	10.96004	-255.4382	7.946429	-255.6814	-2.759391
-254.5131	11.12995	-254.4448	7.913562	-254.6989	-2.456325
-253.4885	11.32015	-253.4509	7.891273	-253.7006	-2.116446
-252.5023	11.4696	-252.4865	7.84436	-252.7055	-1.805834
-251.5032	11.63007	-251.4985	7.800008	-251.7007	-1.470967
-250.5208	11.80627	-250.5	7.760119	-250.704	-1.126217
-249.5266	11.95507	-249.5149	7.702952	-249.7145	-0.801466
-248.5245	12.15136	-248.5078	7.666521	-248.7213	-0.441298
-247.5099	12.37246	-247.49	7.643226	-247.7327	-0.044795
-246.4951	12.58176	-246.4975	7.616307	-246.7116	0.336477
-245.5079	12.79715	-245.4781	7.589315	-245.7063	0.715843
-244.5021	12.99631	-244.4783	7.550389	-244.6909	1.08585
-243.5033	13.17421	-243.5074	7.497054	-243.6842	1.439556
-242.5213	13.33879	-242.5317	7.433	-242.6876	1.809297
-241.5226	13.51446	-241.5623	7.36956	-241.6895	2.209245
-240.5247	13.72016	-240.5557	7.320742	-240.6687	2.659917
-239.5397	13.91519	-239.5429	7.264297	-239.6618	3.090619
-238.5457	14.12811	-238.5146	7.211564	-238.6777	3.524325
-237.5357	14.37436	-237.4799	7.175516	-237.6761	3.984728
-236.529	14.58824	-236.4735	7.121962	-236.6764	4.390662
-235.531	14.82389	-235.4787	7.07843	-235.6737	4.820242
-234.5007	15.07914	-234.4756	7.042978	-234.6537	5.29508
-233.5139	15.28325	-233.4748	6.979821	-233.6724	5.731601
-232.5255	15.48772	-232.4827	6.914148	-232.6906	6.189659
-231.5428	15.68946	-231.4739	6.84164	-231.7055	6.666545
-230.573	15.86866	-230.4768	6.756963	-230.7018	7.123107
-229.5715	16.07721	-229.4994	6.685533	-229.6948	7.616959
-228.5935	16.30784	-228.5049	6.622045	-228.7104	8.118904
-227.5677	16.55927	-227.5063	6.568854	-227.7002	8.629107
-226.5761	16.80926	-226.5239	6.516755	-226.7245	9.122997
-225.5857	17.05033	-225.5194	6.457089	-225.7122	9.591206
-224.5766	17.30158	-224.5147	6.401079	-224.7005	10.08824
-223.5806	17.5268	-223.5213	6.332441	-223.7198	10.57749
-222.5699	17.76022	-222.51	6.262647	-222.7137	11.09956
-221.5407	18.0252	-221.5207	6.207336	-221.7157	11.68636
-220.5313	18.26303	-220.5167	6.137215	-220.7234	12.24393
-219.5222	18.50758	-219.5168	6.068401	-219.7177	12.80045
-218.5222	18.76898	-218.5081	6.004719	-218.6747	13.35686
-217.5214	19.00325	-217.5106	5.927356	-217.6877	13.86235
-216.5294	19.26474	-216.5164	5.864188	-216.6702	14.39251
-215.5386	19.53896	-215.5198	5.806107	-215.6663	14.92825
-214.5213	19.80016	-214.5284	5.743378	-214.6937	15.45714
-213.5117	20.06238	-213.5084	5.681942	-213.6999	16.01725
