Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Ciclado - 20 ciclos 1 - 0.315mM	Ciclado - 20 ciclos 1 - 0.315mM	Ciclado - 20 ciclos 2 - 0.315mM	Ciclado - 20 ciclos 2 - 0.315mM	Adsorbido 1 - 0.315mM	Adsorbido 1 - 0.315mM	Adsorbido 2 - 0.315mM	Adsorbido 2 - 0.315mM	Adsorbido 3 - 0.315mM	Adsorbido 3 - 0.315mM	Adsorbido 4 - 0.315mM	Adsorbido 4 - 0.315mM	Ru 0.315mM - Au Desnudo	Ru 0.315mM - Au Desnudo
-469.7038	-0.763647	-469.7366	-0.79704	-469.6925	-1.416578	-469.6566	-0.350787	-469.722	0.019305	-469.6903	-0.18401	-469.7514	-0.837498
-468.742	-0.75921	-468.7331	-0.78824	-468.6923	-1.399035	-468.6767	-0.335712	-468.7058	0.028543	-468.6941	-0.173369	-468.7386	-0.833598
-467.7389	-0.753958	-467.7192	-0.778912	-467.6882	-1.381785	-467.6883	-0.320454	-467.7228	0.038452	-467.696	-0.161604	-467.7426	-0.830359
-466.7564	-0.748183	-466.7114	-0.769749	-466.6934	-1.363497	-466.6796	-0.304063	-466.7144	0.049415	-466.6965	-0.148687	-466.7634	-0.827126
-465.732	-0.742595	-465.7096	-0.761408	-465.7142	-1.344493	-465.7007	-0.28702	-465.707	0.060246	-465.6815	-0.134339	-465.7656	-0.824739
-464.6872	-0.736206	-464.6907	-0.751297	-464.7034	-1.324353	-464.6905	-0.267998	-464.7055	0.072741	-464.6615	-0.119328	-464.7554	-0.822131
-463.6893	-0.731313	-463.7111	-0.743183	-463.6857	-1.305144	-463.6812	-0.25191	-463.6736	0.082893	-463.6489	-0.107186	-463.7426	-0.819428
-462.6889	-0.726554	-462.7201	-0.734711	-462.6945	-1.285866	-462.6869	-0.237019	-462.6751	0.092285	-462.6452	-0.095417	-462.7375	-0.817655
-461.7079	-0.721196	-461.7324	-0.726298	-461.6694	-1.265743	-461.6779	-0.220924	-461.6651	0.101548	-461.6534	-0.083074	-461.7152	-0.812931
-460.725	-0.71804	-460.7644	-0.719024	-460.6636	-1.246715	-460.6972	-0.210452	-460.6779	0.107665	-460.6641	-0.070982	-460.7361	-0.809104
-459.7418	-0.712925	-459.7462	-0.710228	-459.6687	-1.226211	-459.7108	-0.195501	-459.7086	0.116583	-459.673	-0.0579	-459.7694	-0.804885
-458.7421	-0.707569	-458.7367	-0.701361	-458.6659	-1.205778	-458.7152	-0.177014	-458.7209	0.126695	-458.6744	-0.043557	-458.7575	-0.800889
-457.7407	-0.702657	-457.7278	-0.692854	-457.6684	-1.187538	-457.7098	-0.160089	-457.7581	0.135563	-457.6849	-0.032083	-457.7594	-0.797888
-456.7369	-0.696471	-456.7188	-0.683673	-456.6797	-1.167504	-456.6862	-0.140094	-456.7588	0.148083	-456.702	-0.020482	-456.7601	-0.794852
-455.7214	-0.691216	-455.7328	-0.674631	-455.6873	-1.146917	-455.6829	-0.12289	-455.7394	0.16066	-455.6869	-0.005736	-455.7508	-0.790776
-454.715	-0.686522	-454.7408	-0.665234	-454.7098	-1.125919	-454.6927	-0.108533	-454.7313	0.172387	-454.7017	0.006958	-454.7416	-0.787
-453.7084	-0.681605	-453.7473	-0.655627	-453.7126	-1.101817	-453.6964	-0.092324	-453.71	0.186098	-453.6978	0.02369	-453.7437	-0.783541
