Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Ciclado - 20 ciclos 1 -63uM	Ciclado - 20 ciclos 1 -63uM	Ciclado - 20 ciclos 2 - 63uM	Ciclado - 20 ciclos 2 - 63uM	Adsorbido 1 - 63uM	Adsorbido 1 - 63uM	Adsorbido 2 - 63uM	Adsorbido 2 - 63uM	Adsorbido 3 - 63uM	Adsorbido 3 - 63uM	Ru 63uM - Au Desnudo	Ru 63uM - Au Desnudo
-533.8221	-2.739318	-533.751	-1.371738	-533.7681	-2.485195	-533.8014	-1.943369	-533.7709	-2.147005	-533.9748	-1.950878
-532.818	-2.735294	-532.7578	-1.36902	-532.7562	-2.477756	-532.7886	-1.936952	-532.7719	-2.139686	-532.9899	-1.94097
-531.8218	-2.724708	-531.7588	-1.363232	-531.7629	-2.471265	-531.7991	-1.931142	-531.7711	-2.133369	-531.9949	-1.934496
-530.8433	-2.717814	-530.7739	-1.360166	-530.7395	-2.462471	-530.798	-1.92694	-530.7634	-2.125985	-530.9707	-1.923897
-529.8724	-2.711286	-529.771	-1.356122	-529.745	-2.454754	-529.7983	-1.920649	-529.7767	-2.117475	-529.9871	-1.91554
-528.8545	-2.701085	-528.7571	-1.3515	-528.7426	-2.447473	-528.7811	-1.914666	-528.7542	-2.110186	-528.9682	-1.906464
-527.8306	-2.696258	-527.7626	-1.34984	-527.7467	-2.441801	-527.7599	-1.908485	-527.7534	-2.103683	-527.9537	-1.898711
-526.8075	-2.688591	-526.7685	-1.345784	-526.7702	-2.4367	-526.7532	-1.90249	-526.769	-2.096642	-526.9697	-1.892886
-525.7727	-2.680884	-525.774	-1.342255	-525.7692	-2.42855	-525.7538	-1.89552	-525.778	-2.089254	-525.9694	-1.885035
-524.7953	-2.675984	-524.7679	-1.337566	-524.7946	-2.422573	-524.7758	-1.888782	-524.8044	-2.081414	-524.9583	-1.876875
-523.806	-2.668737	-523.7635	-1.333036	-523.7866	-2.415664	-523.7596	-1.882165	-523.7923	-2.073702	-523.9496	-1.866995
-522.8066	-2.662704	-522.7653	-1.328519	-522.7909	-2.408489	-522.759	-1.874747	-522.7738	-2.066565	-522.9135	-1.857528
-521.8296	-2.654291	-521.754	-1.323493	-521.783	-2.401983	-521.7512	-1.870592	-521.7722	-2.059753	-521.8962	-1.847364
-520.8121	-2.647618	-520.7746	-1.318412	-520.7717	-2.395365	-520.7539	-1.865796	-520.7481	-2.053387	-520.9022	-1.83743
-519.8286	-2.639965	-519.7611	-1.314226	-519.7658	-2.387096	-519.7606	-1.857992	-519.7642	-2.04668	-519.878	-1.826613
-518.8188	-2.630725	-518.7328	-1.310116	-518.7567	-2.380906	-518.7522	-1.852322	-518.7738	-2.040955	-518.8916	-1.81924
-517.798	-2.621999	-517.7285	-1.306267	-517.7706	-2.374809	-517.7554	-1.844502	-517.7782	-2.033737	-517.8941	-1.810297
-516.7871	-2.615712	-516.7113	-1.303676	-516.7498	-2.366635	-516.7382	-1.836447	-516.7719	-2.025796	-516.8918	-1.80239
-515.7411	-2.608471	-515.7115	-1.300942	-515.733	-2.358743	-515.7343	-1.830422	-515.7549	-2.01727	-515.9166	-1.796374
-514.7365	-2.602176	-514.7058	-1.298891	-514.7358	-2.349972	-514.7095	-1.822315	-514.7449	-2.00951	-514.9064	-1.789138
-513.7427	-2.595006	-513.7067	-1.296838	-513.7219	-2.34341	-513.717	-1.815866	-513.7217	-2.003752	-513.9044	-1.78399
-512.7587	-2.586141	-512.7416	-1.293331	-512.7268	-2.337273	-512.7183	-1.810781	-512.7344	-1.997529	-512.8932	-1.775954
-511.7885	-2.58042	-511.7484	-1.288154	-511.7493	-2.331465	-511.7358	-1.80527	-511.7646	-1.991026	-511.8987	-1.767519
-510.7845	-2.571641	-510.7803	-1.282538	-510.748	-2.324354	-510.7542	-1.799091	-510.7671	-1.983903	-510.9066	-1.757501
-509.7767	-2.565485	-509.7809	-1.277425	-509.744	-2.317028	-509.733	-1.792248	-509.748	-1.977041	-509.8977	-1.748125
-508.7774	-2.556495	-508.7609	-1.273726	-508.7442	-2.309734	-508.7377	-1.785482	-508.7479	-1.970749	-508.9169	-1.741613
