Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Ciclado - 20  ciclos 1 - 1.575mM	Ciclado - 20  ciclos 1 - 1.575mM	Ciclado - 6  ciclos 2 - 1.575mM	Ciclado - 6  ciclos 2 - 1.575mM	Adsorbido 1 - 1.575mM	Adsorbido 1 - 1.575mM	Adsorbido 2 - 1.575mM	Adsorbido 2 - 1.575mM	Adsorbido 3 - 1.575mM	Adsorbido 3 - 1.575mM	Adsorbido 4 - 1.575mM	Adsorbido 4 - 1.575mM	Adsorbido 5 - 1.575mM	Adsorbido 5 - 1.575mM	Adsorbido 6 - 1.575mM	Adsorbido 6 - 1.575mM	Ru 1.575mM - Au Desnudo	Ru 1.575mM - Au Desnudo
-548.6665	-5.166047	-548.6399	-0.766802	-548.6711	-3.6282	-548.6531	-1.806346	-548.6859	-2.705034	-548.7142	-2.359846	-548.6915	-1.700868	-548.7363	-2.279102	-548.759	-2.723996
-547.6716	-5.153768	-547.6373	-0.740207	-547.6762	-3.603152	-547.6643	-1.779079	-547.6913	-2.673139	-547.7065	-2.32564	-547.6978	-1.673203	-547.7607	-2.252457	-547.7455	-2.710052
-546.6698	-5.141846	-546.6412	-0.714226	-546.654	-3.578333	-546.6501	-1.752644	-546.6842	-2.642087	-546.7206	-2.290107	-546.701	-1.646059	-546.7714	-2.226457	-546.7584	-2.696376
-545.6851	-5.130745	-545.6636	-0.689317	-545.6626	-3.554667	-545.6726	-1.72766	-545.6738	-2.612529	-545.7097	-2.25682	-545.7006	-1.620515	-545.7619	-2.200353	-545.7888	-2.68311
-544.6997	-5.118217	-544.6641	-0.661766	-544.66	-3.530493	-544.6812	-1.701742	-544.6833	-2.581601	-544.7014	-2.226246	-544.7108	-1.594687	-544.7408	-2.173488	-544.7815	-2.668904
-543.7178	-5.106719	-543.6976	-0.63147	-543.6564	-3.506709	-543.7036	-1.676806	-543.6687	-2.55188	-543.7092	-2.196427	-543.7096	-1.569983	-543.7157	-2.147076	-543.791	-2.65388
-542.6976	-5.094955	-542.6971	-0.599674	-542.6691	-3.482197	-542.712	-1.650794	-542.6473	-2.52067	-542.6771	-2.165476	-542.7158	-1.544682	-542.7003	-2.120231	-542.7858	-2.637619
-541.6639	-5.082322	-541.666	-0.564793	-541.6541	-3.457616	-541.682	-1.622734	-541.6335	-2.487698	-541.6693	-2.133417	-541.6962	-1.51761	-541.6909	-2.091725	-541.7572	-2.62145
-540.6528	-5.070775	-540.6952	-0.533765	-540.6553	-3.434319	-540.6797	-1.597581	-540.6264	-2.459129	-540.6688	-2.105583	-540.7099	-1.493474	-540.6942	-2.066379	-540.7475	-2.604701
-539.6229	-5.059336	-539.6774	-0.502127	-539.66	-3.410043	-539.6507	-1.571162	-539.6472	-2.430007	-539.673	-2.07745	-539.7103	-1.468559	-539.6935	-2.041929	-539.7289	-2.587752
-538.6354	-5.046972	-538.6765	-0.467884	-538.6503	-3.386342	-538.6622	-1.544479	-538.6655	-2.400518	-538.6839	-2.050067	-538.72	-1.444119	-538.6931	-2.016454	-538.7215	-2.573516
-537.6894	-5.035583	-537.6928	-0.437886	-537.6631	-3.364605	-537.6995	-1.520697	-537.6963	-2.373553	-537.6933	-2.025325	-537.7435	-1.422603	-537.7105	-1.99507	-537.7447	-2.562732
-536.6998	-5.02354	-536.6758	-0.404094	-536.6771	-3.34041	-536.7181	-1.495612	-536.6884	-2.342839	-536.6912	-1.995622	-536.734	-1.397423	-536.714	-1.970899	-536.7592	-2.550407
-535.7137	-5.010406	-535.6743	-0.374724	-535.6804	-3.317591	-535.7202	-1.470607	-535.6744	-2.312846	-535.6736	-1.96752	-535.7416	-1.372599	-535.7123	-1.945878	-535.782	-2.540508
-534.7274	-4.998844	-534.682	-0.3496	-534.6906	-3.293947	-534.7218	-1.445744	-534.6769	-2.284474	-534.6656	-1.938857	-534.7393	-1.347761	-534.7078	-1.923378	-534.7903	-2.526656
-533.7129	-4.98734	-533.7017	-0.322601	-533.6989	-3.269459	-533.7029	-1.420255	-533.6661	-2.25554	-533.6664	-1.908838	-533.746	-1.322698	-533.7057	-1.898757	-533.7936	-2.509915
-532.7154	-4.975464	-532.6938	-0.295849	-532.7073	-3.245879	-532.7098	-1.394933	-532.6847	-2.227489	-532.6901	-1.881854	-532.7426	-1.299735	-532.7014	-1.875487	-532.8074	-2.496835
-531.7302	-4.964796	-531.6973	-0.265858	-531.7078	-3.222379	-531.7194	-1.371417	-531.7136	-2.199151	-531.7072	-1.854553	-531.752	-1.277844	-531.7125	-1.85271	-531.8079	-2.481636
-530.7351	-4.953481	-530.6893	-0.235684	-530.7043	-3.199575	-530.72	-1.347422	-530.7059	-2.170701	-530.7352	-1.827662	-530.7665	-1.256078	-530.7286	-1.828746	-530.8151	-2.467852
-529.7317	-4.941877	-529.6824	-0.205282	-529.6916	-3.176692	-529.714	-1.323397	-529.7078	-2.14175	-529.7397	-1.802215	-529.747	-1.234025	-529.7224	-1.804854	-529.809	-2.455858
-528.7131	-4.930392	-528.6723	-0.175074	-528.6692	-3.15292	-528.7075	-1.29889	-528.7001	-2.111638	-528.7199	-1.774492	-528.7467	-1.210676	-528.6881	-1.779255	-528.7964	-2.440773
-527.693	-4.919765	-527.6666	-0.147278	-527.6761	-3.129964	-527.7021	-1.274736	-527.6744	-2.083069	-527.7306	-1.748522	-527.7393	-1.188061	-527.6932	-1.756341	-527.7849	-2.428958
