Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Ciclado - 20 Ciclos 1 - 6.3mM	Ciclado - 20 Ciclos 1 - 6.3mM	Ciclado - 20 Ciclos 2 - 6.3mM	Ciclado - 20 Ciclos 2 - 6.3mM	Adsorbido 1 - 6.3mM	Adsorbido 1 - 6.3mM	Adsorbido 2 - 6.3mM	Adsorbido 2 - 6.3mM	Ru 6.3mM Au Desnudo	Ru 6.3mM Au Desnudo
-403.9115	-3.088815	-403.8388	-3.649855	-403.8191	-1.825066	-403.8486	-0.055282	-403.8345	-7.746175
-402.9156	-3.069407	-402.8498	-3.644129	-402.8509	-1.780459	-402.8649	0.001824	-402.8331	-7.738533
-401.9249	-3.048137	-401.8535	-3.639997	-401.8557	-1.728203	-401.8636	0.065811	-401.8514	-7.733582
-400.8938	-3.033875	-400.8434	-3.627816	-400.8479	-1.675369	-400.8673	0.133288	-400.8327	-7.722474
-399.8901	-3.01533	-399.8114	-3.613775	-399.8426	-1.627246	-399.8536	0.197086	-399.8229	-7.715395
-398.8779	-3.00914	-398.8023	-3.598625	-398.8465	-1.577103	-398.8238	0.260229	-398.8303	-7.70791
-397.8849	-2.991594	-397.805	-3.591421	-397.8288	-1.522621	-397.8012	0.321341	-397.8086	-7.695382
-396.9155	-2.976021	-396.8171	-3.595122	-396.8319	-1.472489	-396.8057	0.373816	-396.8359	-7.685287
-395.9037	-2.965424	-395.8301	-3.604555	-395.8449	-1.412425	-395.8369	0.432766	-395.8509	-7.675692
-394.9145	-2.964466	-394.8485	-3.606605	-394.8121	-1.349065	-394.8545	0.496719	-394.8473	-7.669386
-393.9149	-2.967639	-393.8564	-3.604784	-393.8206	-1.29476	-393.8705	0.555065	-393.8518	-7.662376
-392.9122	-2.960445	-392.8738	-3.599681	-392.8531	-1.24066	-392.8711	0.624305	-392.8524	-7.656441
-391.9067	-2.953473	-391.9056	-3.589062	-391.8524	-1.185095	-391.8571	0.703943	-391.837	-7.64895
-390.916	-2.938782	-390.8931	-3.585257	-390.8831	-1.128483	-390.8746	0.779552	-390.8365	-7.640026
-389.9156	-2.931378	-389.9088	-3.574497	-389.9064	-1.061703	-389.8563	0.8625	-389.8567	-7.633243
-388.8829	-2.933528	-388.8954	-3.560472	-388.894	-0.98794	-388.8404	0.946512	-388.837	-7.624997
