Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad	Potencial	Intensidad
mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA	mV	uA
Cilclado - 20 ciclos 1 - 3.15mM	Cilclado - 20 ciclos 1 - 3.15mM	Cilclado - 20 ciclos 2 - 3.15mM	Cilclado - 20 ciclos 2 - 3.15mM	Adsorbido 1 - 3.15mM	Adsorbido 1 - 3.15mM	Adsorbido 2 - 3.15mM	Adsorbido 2 - 3.15mM	Adsorbido 3 - 3.15mM	Adsorbido 3 - 3.15mM	Adsorbido 4 - 3.15mM	Adsorbido 4 - 3.15mM	Adsorbido 5 - 3.15mM	Adsorbido 5 - 3.15mM	Adsorbido 6 - 3.15mM	Adsorbido 6 - 3.15mM	Adsorbido 7 - 3.15mM	Adsorbido 7 - 3.15mM	Ru 3.15mM - Au Desnudo	Ru 3.15mM - Au Desnudo
-538.738	-2.64938	-538.7313	-4.049914	-538.6047	-3.647864	-538.6088	-1.780035	-538.6085	-1.893654	-538.6188	-1.653876	-538.6461	-2.090932	-538.6513	-1.636868	-538.65	-1.859675	-538.7726	-4.540406
-537.7549	-2.643022	-537.7559	-4.030704	-537.6266	-3.625906	-537.6298	-1.756415	-537.6449	-1.867282	-537.6412	-1.626692	-537.6846	-2.064041	-537.6573	-1.612188	-537.6778	-1.836001	-537.785	-4.518406
-536.779	-2.636418	-536.746	-4.008921	-536.6593	-3.602225	-536.6417	-1.73104	-536.6346	-1.838342	-536.6312	-1.596635	-536.7041	-2.035141	-536.674	-1.584465	-536.7024	-1.809477	-536.814	-4.497015
-535.7803	-2.631492	-535.7527	-3.983899	-535.6747	-3.57949	-535.626	-1.704946	-535.6446	-1.809697	-535.6344	-1.56737	-535.7119	-2.005655	-535.6818	-1.556502	-535.6832	-1.783116	-535.8226	-4.477022
-534.7831	-2.623724	-534.7368	-3.962263	-534.6777	-3.55597	-534.6395	-1.680104	-534.6606	-1.782081	-534.655	-1.538803	-534.7432	-1.977349	-534.6926	-1.530481	-534.7046	-1.757411	-534.8375	-4.462733
-533.777	-2.618566	-533.7336	-3.93748	-533.6605	-3.532117	-533.6434	-1.653931	-533.6526	-1.753432	-533.6404	-1.509171	-533.723	-1.947686	-533.703	-1.502689	-533.706	-1.730711	-533.8167	-4.445061
-532.7746	-2.613784	-532.7504	-3.91518	-532.634	-3.509753	-532.6563	-1.627841	-532.6455	-1.725867	-532.6689	-1.481565	-532.7079	-1.918835	-532.6889	-1.476876	-532.6899	-1.705424	-532.8026	-4.428128
-531.7855	-2.608247	-531.7342	-3.891907	-531.6367	-3.486066	-531.6688	-1.603132	-531.6572	-1.697703	-531.6772	-1.452199	-531.7199	-1.891054	-531.6949	-1.451401	-531.7143	-1.680735	-531.8066	-4.411614
-530.804	-2.603442	-530.7222	-3.867844	-530.6323	-3.463462	-530.6816	-1.577348	-530.6684	-1.669923	-530.6665	-1.423339	-530.696	-1.862071	-530.6896	-1.42599	-530.7139	-1.655477	-530.7953	-4.391442
-529.8134	-2.596647	-529.7244	-3.845995	-529.6258	-3.440519	-529.6693	-1.551095	-529.6708	-1.641756	-529.681	-1.39477	-529.7087	-1.833306	-529.7036	-1.400677	-529.7144	-1.630172	-529.8066	-4.371747
-528.787	-2.588899	-528.6994	-3.819749	-528.6224	-3.416021	-528.6561	-1.524246	-528.6683	-1.612215	-528.6588	-1.365173	-528.7067	-1.802476	-528.7032	-1.372927	-528.7041	-1.602757	-528.8009	-4.350214
-527.7805	-2.583663	-527.7007	-3.797425	-527.615	-3.393462	-527.6457	-1.497932	-527.6342	-1.585033	-527.6575	-1.337793	-527.6819	-1.774489	-527.6842	-1.347813	-527.688	-1.577613	-527.7941	-4.336703
-526.7937	-2.57751	-526.7154	-3.77642	-526.6164	-3.370311	-526.6347	-1.472941	-526.6176	-1.557355	-526.6574	-1.310595	-526.6837	-1.746859	-526.6769	-1.322538	-526.6801	-1.553665	-526.8193	-4.318277
-525.7861	-2.572702	-525.7175	-3.753281	-525.61	-3.346644	-525.626	-1.447712	-525.6178	-1.529298	-525.6321	-1.283683	-525.6595	-1.717318	-525.6829	-1.295364	-525.6605	-1.528728	-525.821	-4.293156
-524.7921	-2.56882	-524.7552	-3.734362	-524.632	-3.325138	-524.6307	-1.424923	-524.6482	-1.504955	-524.623	-1.258878	-524.6682	-1.692305	-524.693	-1.272846	-524.6914	-1.507457	-524.8408	-4.270785
-523.811	-2.562323	-523.7624	-3.712219	-523.6213	-3.302307	-523.6481	-1.40102	-523.6711	-1.47844	-523.6336	-1.232792	-523.665	-1.663746	-523.7172	-1.248131	-523.6908	-1.483665	-523.8517	-4.241379
-522.7745	-2.556414	-522.7552	-3.687725	-522.6066	-3.278921	-522.6435	-1.376151	-522.6776	-1.451565	-522.6138	-1.205464	-522.6623	-1.635177	-522.7211	-1.223206	-522.6813	-1.458672	-522.8362	-4.217165
-521.7905	-2.550923	-521.7548	-3.666079	-521.6149	-3.257557	-521.6584	-1.353015	-521.6775	-1.426804	-521.623	-1.179423	-521.6506	-1.609892	-521.7023	-1.20209	-521.6789	-1.436517	-521.8386	-4.198587
-520.8063	-2.54543	-520.7502	-3.641435	-520.6036	-3.233253	-520.653	-1.328614	-520.654	-1.399426	-520.6388	-1.151694	-520.6273	-1.582395	-520.7083	-1.178724	-520.6641	-1.412878	-520.8055	-4.178086
-519.7968	-2.539703	-519.7565	-3.618968	-519.6276	-3.209386	-519.642	-1.304792	-519.6417	-1.373065	-519.6013	-1.124799	-519.6357	-1.555967	-519.6981	-1.15623	-519.6843	-1.390064	-519.7891	-4.156224
-518.8085	-2.534369	-518.7579	-3.597376	-518.6331	-3.187313	-518.6472	-1.281707	-518.6476	-1.34824	-518.6245	-1.100191	-518.6515	-1.530976	-518.6885	-1.133999	-518.6856	-1.368988	-518.7956	-4.136721
-517.7858	-2.528218	-517.748	-3.572303	-517.6332	-3.163039	-517.641	-1.257061	-517.6234	-1.321892	-517.62	-1.073586	-517.6667	-1.505017	-517.6777	-1.110516	-517.6917	-1.34613	-517.7719	-4.117157
-516.7579	-2.520496	-516.7417	-3.548757	-516.6388	-3.140616	-516.6332	-1.233068	-516.6086	-1.296713	-516.6021	-1.04816	-516.6764	-1.478929	-516.6608	-1.08747	-516.6716	-1.324073	-516.7609	-4.09682
-515.7349	-2.514138	-515.7084	-3.523684	-515.6348	-3.117324	-515.6109	-1.208217	-515.5986	-1.270019	-515.5962	-1.022685	-515.6683	-1.45283	-515.6423	-1.062039	-515.6431	-1.3014	-515.7625	-4.086279
-514.7155	-2.507886	-514.7082	-3.498677	-514.6193	-3.094125	-514.5962	-1.184599	-514.5845	-1.244376	-514.5686	-0.998066	-514.6412	-1.427915	-514.6473	-1.039219	-514.6298	-1.280171	-514.7264	-4.074124
