Sin Funcionalizar	Sin Funcionalizar
mV	uA
Primeros 45	Primeros 45
480.0708	0.3302815
481.0848	0.3313424
482.1089	0.3327518
483.1145	0.3335689
484.1355	0.3348066
485.1343	0.3359257
486.0918	0.3356977
487.0978	0.3367385
488.0912	0.3382549
489.074	0.3391452
490.0747	0.3400006
491.0844	0.3400823
492.0909	0.3396196
493.1071	0.3400503
494.1068	0.3411014
495.1175	0.3429588
496.1262	0.3442775
497.139	0.3449585
498.1574	0.3459213
498.6771	0.3273834
498.7007	0.3021955
498.235	0.2736883
497.2499	0.240517
496.2547	0.2219696
495.2525	0.2077884
494.2252	0.1942954
493.2339	0.183014
492.2258	0.1736791
491.2365	0.1653224
490.245	0.1579253
489.2468	0.1515651
488.2511	0.1461135
487.2481	0.1409581
486.27	0.1368464
485.3035	0.13306
484.3019	0.1283837
483.2836	0.1240702
482.2656	0.1198003
481.228	0.1148202
480.2298	0.1118563
479.2429	0.1095336
478.2453	0.1068295
477.2545	0.1048007
476.2486	0.1012386
475.2424	0.09683271
474.2497	0.09304246
473.2652	0.08947913
472.265	0.0867736
471.2787	0.08401341
470.2665	0.08154798
469.2555	0.07953697
468.254	0.07728609
467.2428	0.07625995
466.2497	0.07516875
465.2523	0.07302299
464.2438	0.07187669
463.2328	0.06991784
462.233	0.06743917
461.2328	0.06581434
460.2508	0.0645038
459.2876	0.06346282
458.299	0.06279763
457.2937	0.06041254
456.2843	0.05909114
455.2683	0.05755255
454.2553	0.05625828
453.2714	0.0564291
452.286	0.05406916
451.2763	0.05205001
450.2728	0.05039949
449.2631	0.0488662
448.2379	0.04853567
447.253	0.04761895
446.2552	0.04743637
445.2481	0.04565369
444.254	0.04453186
443.2433	0.04444185
442.2513	0.04275349
441.2518	0.04316077
440.2697	0.04274819
439.269	0.04101768
438.2615	0.03989942
437.2573	0.03890882
436.2558	0.03779897
435.2745	0.03739129
434.298	0.03707461
433.3079	0.03579837
432.3056	0.03465782
431.2862	0.0337076
430.265	0.03251632
429.244	0.03195894
428.2487	0.03117278
427.2732	0.03068869
426.2889	0.03054631
425.3026	0.03020493
424.3172	0.03034815
423.2927	0.02994187
422.2991	0.02930946
421.3159	0.02887265
420.2915	0.0276166
419.2772	0.02645138
418.2754	0.02517086
417.2597	0.02417265
416.27	0.02421288
415.3128	0.02411086
414.3217	0.02432286
413.3491	0.02430932
412.3675	0.02389212
411.3528	0.02366879
410.3421	0.02325703
409.339	0.02241153
408.3279	0.02197376
407.3272	0.02151753
406.3388	0.02112078
405.3456	0.02106359
404.3401	0.01971493
403.3347	0.0185236
402.3202	0.0176479
401.3032	0.01630934
400.301	0.01547157
399.3042	0.01518672
398.3051	0.01448269
397.2985	0.01426792
396.3081	0.01463823
